"","date","open","high","low","close","volume","adjusted"
"1",1980-12-12,0.513393,0.515625,0.513393,0.513393,117258400,0.407747
"2",1980-12-15,0.488839,0.488839,0.486607,0.486607,43971200,0.386473
"3",1980-12-16,0.453125,0.453125,0.450893,0.450893,26432000,0.358108
"4",1980-12-17,0.462054,0.464286,0.462054,0.462054,21610400,0.366972
"5",1980-12-18,0.475446,0.477679,0.475446,0.475446,18362400,0.377609
"6",1980-12-19,0.504464,0.506696,0.504464,0.504464,12157600,0.400656
"7",1980-12-22,0.529018,0.53125,0.529018,0.529018,9340800,0.420157
"8",1980-12-23,0.551339,0.553571,0.551339,0.551339,11737600,0.437885
"9",1980-12-24,0.580357,0.582589,0.580357,0.580357,12000800,0.460931
"10",1980-12-26,0.633929,0.636161,0.633929,0.633929,13893600,0.503479
"11",1980-12-29,0.642857,0.645089,0.642857,0.642857,23290400,0.51057
"12",1980-12-30,0.629464,0.629464,0.627232,0.627232,17220000,0.49816
"13",1980-12-31,0.611607,0.611607,0.609375,0.609375,8937600,0.483978
"14",1981-01-02,0.616071,0.620536,0.616071,0.616071,5415200,0.489296
"15",1981-01-05,0.604911,0.604911,0.602679,0.602679,8932000,0.478659
"16",1981-01-06,0.578125,0.578125,0.575893,0.575893,11289600,0.457386
"17",1981-01-07,0.553571,0.553571,0.551339,0.551339,13921600,0.437885
"18",1981-01-08,0.542411,0.542411,0.540179,0.540179,9956800,0.429021
"19",1981-01-09,0.569196,0.571429,0.569196,0.569196,5376000,0.452067
"20",1981-01-12,0.569196,0.569196,0.564732,0.564732,5924800,0.448522
"21",1981-01-13,0.546875,0.546875,0.544643,0.544643,5762400,0.432566
"22",1981-01-14,0.546875,0.549107,0.546875,0.546875,3572800,0.434339
"23",1981-01-15,0.558036,0.5625,0.558036,0.558036,3516800,0.443203
"24",1981-01-16,0.555804,0.555804,0.553571,0.553571,3348800,0.439657
"25",1981-01-19,0.587054,0.589286,0.587054,0.587054,10393600,0.46625
"26",1981-01-20,0.571429,0.571429,0.569196,0.569196,7520800,0.452067
"27",1981-01-21,0.580357,0.584821,0.580357,0.580357,3976000,0.460931
"28",1981-01-22,0.587054,0.591518,0.587054,0.587054,8887200,0.46625
"29",1981-01-23,0.587054,0.589286,0.584821,0.584821,2805600,0.464477
"30",1981-01-26,0.578125,0.578125,0.575893,0.575893,6160000,0.457386
"31",1981-01-27,0.575893,0.575893,0.571429,0.571429,5924800,0.45384
