"","date","open","high","low","close","volume","adjusted"
"1",1975-06-24,2.880603,2.904742,2.872557,2.872557,1169700,0.317598
"2",1975-06-25,2.864511,2.864511,2.832325,2.832325,1120700,0.31315
"3",1975-06-26,2.832325,2.840371,2.808186,2.808186,1985100,0.310481
"4",1975-06-27,2.800139,2.800139,2.767954,2.767954,999400,0.306033
"5",1975-06-30,2.800139,2.832325,2.800139,2.800139,1050800,0.309592
"6",1975-07-01,2.743815,2.743815,2.711629,2.711629,1465500,0.299806
"7",1975-07-02,2.703583,2.703583,2.671397,2.671397,1864100,0.295358
"8",1975-07-03,2.703583,2.727722,2.703583,2.703583,733800,0.298916
"9",1975-07-07,2.68749,2.68749,2.647258,2.647258,1209100,0.292689
"10",1975-07-08,2.663351,2.68749,2.663351,2.663351,1072400,0.294468
"11",1975-07-09,2.663351,2.68749,2.647258,2.647258,998000,0.292689
"12",1975-07-10,2.639212,2.639212,2.607026,2.607026,1237200,0.288241
"13",1975-07-11,2.607026,2.631166,2.59898,2.59898,915400,0.287351
"14",1975-07-14,2.590934,2.590934,2.558748,2.558748,841000,0.282903
"15",1975-07-15,2.607026,2.639212,2.607026,2.607026,2367300,0.288241
"16",1975-07-16,2.607026,2.623119,2.590934,2.590934,1430500,0.286461
"17",1975-07-17,2.590934,2.623119,2.590934,2.590934,1062400,0.286461
"18",1975-07-18,2.590934,2.590934,2.558748,2.558748,1097400,0.282903
"19",1975-07-21,2.558748,2.566794,2.542655,2.542655,1013400,0.281124
"20",1975-07-22,2.518516,2.518516,2.486331,2.486331,1579600,0.274896
"21",1975-07-23,2.486331,2.486331,2.446099,2.446099,928100,0.270448
"22",1975-07-24,2.454145,2.486331,2.454145,2.454145,976100,0.271338
"23",1975-07-25,2.430006,2.430006,2.39782,2.39782,1217000,0.26511
"24",1975-07-28,2.39782,2.413913,2.373681,2.373681,1072400,0.262441
"25",1975-07-29,2.446099,2.478284,2.446099,2.446099,2517400,0.270448
"26",1975-07-30,2.526562,2.558748,2.526562,2.526562,1602900,0.279344
"27",1975-07-31,2.526562,2.542655,2.51047,2.51047,1293100,0.277565
"28",1975-08-01,2.446099,2.446099,2.413913,2.413913,955200,0.266889
"29",1975-08-04,2.413913,2.430006,2.39782,2.39782,600,0.26511
"30",1975-08-05,2.405867,2.438052,2.405867,2.405867,914000,0.266
"31",1975-08-06,2.405867,2.438052,2.405867,2.405867,1092600,0.266
"32",1975-08-07,2.33345,2.33345,2.293218,2.293218,1689300,0.253545
"33",1975-08-08,2.325403,2.357589,2.325403,2.325403,752600,0.257103
"34",1975-08-11,2.293218,2.293218,2.269078,2.269078,1328100,0.250876
"35",1975-08-12,2.244939,2.244939,2.212754,2.212754,1622500,0.244649
"36",1975-08-13,2.212754,2.244939,2.212754,2.212754,2204100,0.244649
"37",1975-08-14,2.172522,2.172522,2.148383,2.148383,2377500,0.237531
"38",1975-08-15,2.148383,2.148383,2.116197,2.116197,1268100,0.233973
"39",1975-08-18,2.075965,2.075965,2.04378,2.04378,1355800,0.225966
"40",1975-08-19,1.931131,1.931131,1.906991,1.906991,3979800,0.210843
"41",1975-08-20,1.890899,1.890899,1.86676,1.86676,2988000,0.206394
"42",1975-08-21,2.035733,2.067919,2.035733,2.035733,2707600,0.225077
"43",1975-08-22,2.13229,2.172522,2.13229,2.13229,1701700,0.235752
"44",1975-08-25,2.108151,2.108151,2.075965,2.075965,1693800,0.229525
"45",1975-08-26,2.075965,2.108151,2.075965,2.075965,1077200,0.229525
"46",1975-08-27,2.124244,2.156429,2.124244,2.124244,1474800,0.234863
"47",1975-08-28,2.212754,2.244939,2.212754,2.212754,1081000,0.244649
"48",1975-08-29,2.212754,2.228847,2.196661,2.196661,1239300,0.242869
"49",1975-09-02,2.148383,2.148383,2.116197,2.116197,1250900,0.233973
"50",1975-09-03,2.13229,2.164476,2.13229,2.13229,1721900,0.235752
"51",1975-09-04,2.13229,2.156429,2.124244,2.124244,1302400,0.234863
"52",1975-09-05,2.116197,2.116197,2.084012,2.084012,834900,0.230415
"53",1975-09-08,2.084012,2.092058,2.051826,2.051826,946600,0.226856
"54",1975-09-09,2.035733,2.035733,2.003548,2.003548,1785600,0.221518
"55",1975-09-10,1.995502,1.995502,1.963316,1.963316,3203900,0.21707
"56",1975-09-11,1.963316,1.971362,1.947223,1.947223,1507300,0.215291
"57",1975-09-12,1.947223,1.95527,1.923084,1.923084,1150900,0.212622
"58",1975-09-15,1.923084,1.923084,1.890899,1.890899,1678300,0.209063
"59",1975-09-16,1.923084,1.95527,1.923084,1.923084,1301000,0.212622
"60",1975-09-17,1.931131,1.971362,1.931131,1.931131,1953200,0.213511
"61",1975-09-18,2.011594,2.04378,2.011594,2.011594,1025800,0.222408
"62",1975-09-19,2.116197,2.148383,2.116197,2.116197,1772900,0.233973
"63",1975-09-22,2.116197,2.13229,2.092058,2.092058,1304800,0.231304
"64",1975-09-23,2.108151,2.13229,2.108151,2.108151,1474800,0.233083
"65",1975-09-24,2.156429,2.188615,2.156429,2.156429,1106700,0.238421
"66",1975-09-25,2.188615,2.212754,2.188615,2.188615,1361300,0.24198
"67",1975-09-26,2.188615,2.212754,2.188615,2.188615,622000,0.24198
"68",1975-09-29,2.164476,2.164476,2.13229,2.13229,601100,0.235752
"69",1975-09-30,2.092058,2.092058,2.067919,2.067919,1344200,0.228635
"70",1975-10-01,2.108151,2.13229,2.108151,2.108151,1111500,0.233083
"71",1975-10-02,2.108151,2.13229,2.092058,2.092058,1647200,0.231304
"72",1975-10-03,2.156429,2.188615,2.156429,2.156429,1864800,0.238421
"73",1975-10-06,2.188615,2.212754,2.188615,2.188615,1435300,0.24198
"74",1975-10-07,2.188615,2.212754,2.172522,2.172522,1083300,0.2402
"75",1975-10-08,2.252986,2.285171,2.252986,2.252986,1748300,0.249097
"76",1975-10-09,2.317357,2.349542,2.317357,2.317357,1791800,0.256214
"77",1975-10-10,2.357589,2.389774,2.357589,2.357589,1647200,0.260662
"78",1975-10-13,2.389774,2.413913,2.389774,2.389774,1016500,0.26422
