"","date","open","high","low","close","volume","adjusted"
"1",1975-07-07,0.971193,0.971193,0.946502,0.950617,640200,0.249779
"2",1975-07-08,0.950617,0.950617,0.921811,0.950617,801800,0.249779
"3",1975-07-09,0.950617,0.975309,0.946502,0.975309,783200,0.256267
"4",1975-07-10,0.979424,1.016461,0.979424,1,1964600,0.262754
"5",1975-07-11,1,1.00823,0.983539,1,1083800,0.262754
"6",1975-07-14,1,1.00823,0.987654,0.987654,923400,0.25951
"7",1975-07-15,0.987654,1.00823,0.975309,1.004115,1172000,0.263836
"8",1975-07-16,1.004115,1.00823,0.971193,0.971193,1053200,0.255185
"9",1975-07-17,0.971193,1,0.967078,0.979424,534600,0.257348
"10",1975-07-18,0.979424,0.995885,0.967078,0.995885,522200,0.261673
"11",1975-07-21,0.99177,0.99177,0.975309,0.975309,415800,0.256267
"12",1975-07-22,0.962963,0.962963,0.938272,0.962963,1099200,0.253023
"13",1975-07-23,0.962963,0.962963,0.930041,0.930041,1506600,0.244372
"14",1975-07-24,0.930041,0.950617,0.909465,0.921811,1433600,0.24221
"15",1975-07-25,0.921811,0.938272,0.91358,0.925926,789600,0.243291
"16",1975-07-28,0.925926,0.942387,0.917695,0.925926,874800,0.243291
"17",1975-07-29,0.925926,0.934156,0.91358,0.921811,1430000,0.24221
"18",1975-07-30,0.91358,0.91358,0.876543,0.893004,1536600,0.234641
"19",1975-07-31,0.897119,0.91358,0.897119,0.897119,783200,0.235722
"20",1975-08-01,0.888889,0.888889,0.864198,0.872428,2192600,0.229234
"21",1975-08-04,0.868313,0.868313,0.835391,0.851852,1354400,0.223828
"22",1975-08-05,0.851852,0.851852,0.839506,0.839506,1011000,0.220584
"23",1975-08-06,0.839506,0.855967,0.82716,0.847737,868400,0.222746
"24",1975-08-07,0.847737,0.855967,0.843621,0.843621,713000,0.221665
"25",1975-08-08,0.843621,0.847737,0.831276,0.831276,506600,0.220138
"26",1975-08-11,0.814815,0.814815,0.781893,0.786008,1278200,0.20815
"27",1975-08-12,0.798354,0.851852,0.798354,0.839506,2596400,0.222318
"28",1975-08-13,0.839506,0.860082,0.835391,0.847737,1344800,0.224497
"29",1975-08-14,0.847737,0.847737,0.835391,0.847737,257600,0.224497
"30",1975-08-15,0.847737,0.880658,0.847737,0.880658,780200,0.233216
"31",1975-08-18,0.884774,0.90535,0.884774,0.888889,1044800,0.235395
"32",1975-08-19,0.880658,0.880658,0.839506,0.839506,415800,0.222318
"33",1975-08-20,0.82716,0.82716,0.814815,0.823045,1172000,0.217959
"34",1975-08-21,0.823045,0.835391,0.8107,0.823045,1111400,0.217959
"35",1975-08-22,0.831276,0.851852,0.831276,0.851852,1494200,0.225587
"36",1975-08-25,0.851852,0.860082,0.843621,0.855967,458000,0.226677
"37",1975-08-26,0.855967,0.855967,0.823045,0.835391,567200,0.221228
"38",1975-08-27,0.835391,0.839506,0.814815,0.82716,1785800,0.219048
"39",1975-08-28,0.835391,0.893004,0.835391,0.893004,1089800,0.236485
"40",1975-08-29,0.897119,0.930041,0.897119,0.925926,2566200,0.245204
