"","date","open","high","low","close","volume","adjusted"
"1",1975-06-19,5.239583,5.28125,5.197917,5.270833,247200,0.553565
"2",1975-06-20,5.270833,5.395833,5.270833,5.302083,408000,0.556847
"3",1975-06-23,5.302083,5.333333,5.28125,5.302083,228000,0.556847
"4",1975-06-24,5.3125,5.447917,5.3125,5.40625,514400,0.567786
"5",1975-06-25,5.40625,5.520833,5.40625,5.479167,394400,0.575445
"6",1975-06-26,5.479167,5.5,5.427083,5.427083,260000,0.569974
"7",1975-06-27,5.4375,5.552083,5.4375,5.520833,256800,0.579821
"8",1975-06-30,5.541667,5.614583,5.541667,5.572917,316800,0.585291
"9",1975-07-01,5.572917,5.583333,5.479167,5.541667,281600,0.582009
"10",1975-07-02,5.53125,5.53125,5.447917,5.458333,422400,0.573257
"11",1975-07-03,5.458333,5.46875,5.427083,5.458333,569600,0.573257
"12",1975-07-07,5.458333,5.520833,5.458333,5.46875,137600,0.574351
"13",1975-07-08,5.46875,5.510417,5.458333,5.489583,115200,0.576539
"14",1975-07-09,5.5,5.5625,5.5,5.5625,219200,0.584197
"15",1975-07-10,5.5625,5.666667,5.541667,5.541667,520800,0.582009
"16",1975-07-11,5.541667,5.708333,5.53125,5.666667,523200,0.595137
"17",1975-07-14,5.666667,5.78125,5.666667,5.677083,893600,0.59623
"18",1975-07-15,5.708333,5.822917,5.708333,5.770833,622400,0.606077
"19",1975-07-16,5.8125,5.885417,5.8125,5.833333,480000,0.61264
"20",1975-07-17,5.833333,5.885417,5.708333,5.729167,681600,0.601701
"21",1975-07-18,5.729167,5.729167,5.666667,5.6875,273600,0.597325
"22",1975-07-21,5.697917,5.729167,5.697917,5.71875,144000,0.600607
"23",1975-07-22,5.71875,5.729167,5.635417,5.708333,159200,0.599513
"24",1975-07-23,5.708333,5.708333,5.541667,5.552083,662400,0.583103
"25",1975-07-24,5.552083,5.583333,5.541667,5.5625,369600,0.584197
"26",1975-07-25,5.552083,5.552083,5.395833,5.40625,360000,0.567786
"27",1975-07-28,5.40625,5.479167,5.40625,5.416667,600800,0.568881
"28",1975-07-29,5.447917,5.5,5.447917,5.489583,256800,0.576539
"29",1975-07-30,5.520833,5.552083,5.520833,5.541667,197600,0.582009
"30",1975-07-31,5.5625,5.708333,5.5625,5.666667,237600,0.595137
"31",1975-08-01,5.666667,5.677083,5.541667,5.5625,423200,0.584197
"32",1975-08-04,5.5625,5.5625,5.520833,5.53125,264000,0.580914
"33",1975-08-05,5.53125,5.604167,5.520833,5.520833,185600,0.579821
"34",1975-08-06,5.520833,5.635417,5.5,5.604167,324000,0.588572
"35",1975-08-07,5.614583,5.71875,5.614583,5.666667,336800,0.595137
"36",1975-08-08,5.677083,5.729167,5.677083,5.6875,175200,0.597325
"37",1975-08-11,5.6875,5.708333,5.666667,5.708333,166400,0.599513
"38",1975-08-12,5.71875,5.8125,5.71875,5.78125,309600,0.607171
"39",1975-08-13,5.78125,5.802083,5.708333,5.75,166400,0.603888
"40",1975-08-14,5.729167,5.729167,5.59375,5.604167,364800,0.588572
"41",1975-08-15,5.614583,5.666667,5.614583,5.65625,252800,0.594042
"42",1975-08-18,5.65625,5.6875,5.635417,5.645833,173600,0.592949
"43",1975-08-19,5.645833,5.65625,5.552083,5.552083,226400,0.583103
"44",1975-08-20,5.53125,5.53125,5.375,5.395833,783200,0.566693
"45",1975-08-21,5.395833,5.416667,5.354167,5.375,195200,0.564504
"46",1975-08-22,5.416667,5.541667,5.416667,5.479167,197600,0.575445
"47",1975-08-25,5.489583,5.520833,5.489583,5.5,153600,0.577633
"48",1975-08-26,5.5,5.510417,5.479167,5.489583,264800,0.576539
"49",1975-08-27,5.46875,5.46875,5.416667,5.447917,374400,0.572163
"50",1975-08-28,5.447917,5.510417,5.4375,5.5,655200,0.577633
"51",1975-08-29,5.510417,5.59375,5.510417,5.572917,223200,0.585291
"52",1975-09-02,5.583333,5.677083,5.583333,5.583333,214400,0.586385
"53",1975-09-03,5.5625,5.5625,5.53125,5.5625,317600,0.584197
"54",1975-09-04,5.614583,5.65625,5.614583,5.625,288800,0.59076
"55",1975-09-05,5.625,5.635417,5.583333,5.583333,153600,0.586385
"56",1975-09-08,5.552083,5.552083,5.46875,5.541667,196800,0.582009
"57",1975-09-09,5.541667,5.604167,5.5,5.5,316800,0.577633
"58",1975-09-10,5.5,5.5,5.458333,5.479167,393600,0.575445
"59",1975-09-11,5.479167,5.510417,5.46875,5.479167,139200,0.575445
"60",1975-09-12,5.479167,5.53125,5.427083,5.447917,204000,0.572163
"61",1975-09-15,5.447917,5.458333,5.291667,5.333333,209600,0.560128
"62",1975-09-16,5.333333,5.395833,5.1875,5.229167,658400,0.549189
"63",1975-09-17,5.229167,5.25,5.208333,5.229167,344000,0.549189
"64",1975-09-18,5.229167,5.3125,5.229167,5.3125,495200,0.557941
"65",1975-09-19,5.3125,5.520833,5.3125,5.520833,694400,0.579821
"66",1975-09-22,5.520833,5.604167,5.5,5.5,284000,0.577633
"67",1975-09-23,5.5,5.5,5.4375,5.489583,367200,0.576539
"68",1975-09-24,5.5,5.541667,5.5,5.541667,790400,0.582009
"69",1975-09-25,5.541667,5.5625,5.520833,5.520833,268800,0.579821
"70",1975-09-26,5.520833,5.625,5.520833,5.552083,449600,0.583103
"71",1975-09-29,5.552083,5.583333,5.520833,5.520833,557600,0.579821
"72",1975-09-30,5.479167,5.479167,5.416667,5.427083,370400,0.569974
"73",1975-10-01,5.427083,5.4375,5.322917,5.322917,432800,0.559035
"74",1975-10-02,5.322917,5.395833,5.28125,5.28125,235200,0.554659
"75",1975-10-03,5.302083,5.46875,5.302083,5.458333,331200,0.573257
"76",1975-10-06,5.479167,5.572917,5.479167,5.479167,286400,0.575445
"77",1975-10-07,5.479167,5.510417,5.395833,5.447917,598400,0.572163
"78",1975-10-08,5.479167,5.614583,5.479167,5.604167,208800,0.588572
"79",1975-10-09,5.604167,5.65625,5.59375,5.635417,216000,0.591855
"80",1975-10-10,5.635417,5.677083,5.625,5.666667,336800,0.595137
"81",1975-10-13,5.666667,5.75,5.625,5.75,149600,0.603888
"82",1975-10-14,5.75,5.802083,5.65625,5.6875,477600,0.597325
"83",1975-10-15,5.6875,5.6875,5.645833,5.6875,312000,0.597325
"84",1975-10-16,5.6875,5.822917,5.6875,5.822917,1053600,0.611547
"85",1975-10-17,5.822917,6,5.802083,5.90625,933600,0.620299
"86",1975-10-20,5.9375,6.135417,5.9375,6.083333,590400,0.638897
"87",1975-10-21,6.15625,6.25,6.15625,6.239583,789600,0.655307
"88",1975-10-22,6.239583,6.322917,6.145833,6.166667,883200,0.647649
"89",1975-10-23,6.114583,6.114583,6.03125,6.104167,1239200,0.641085
"90",1975-10-24,6.083333,6.083333,5.979167,6,384000,0.630145
"91",1975-10-27,6,6.041667,5.989583,6,207200,0.630145
"92",1975-10-28,6,6.072917,5.979167,6.0625,297600,0.636709
"93",1975-10-29,6.0625,6.0625,5.958333,5.989583,439200,0.629051
"94",1975-10-30,5.989583,6.03125,5.947917,5.96875,600800,0.626863
"95",1975-10-31,5.96875,6.020833,5.916667,5.927083,221600,0.622487
"96",1975-11-03,5.927083,5.979167,5.90625,5.9375,216800,0.623581
"97",1975-11-04,5.9375,5.979167,5.895833,5.895833,312000,0.619204
"98",1975-11-05,5.927083,6.072917,5.927083,6,549600,0.630145
"99",1975-11-06,6,6.0625,5.979167,6.03125,207200,0.633427
"100",1975-11-07,6.03125,6.041667,5.916667,5.958333,1049600,0.625768
"101",1975-11-10,5.9375,5.9375,5.84375,5.854167,476000,0.614829
"102",1975-11-11,5.854167,5.9375,5.833333,5.84375,497600,0.613735
"103",1975-11-12,5.854167,5.927083,5.854167,5.916667,576000,0.621393
"104",1975-11-13,6,6.072917,6,6,382400,0.630145
"105",1975-11-14,6,6.020833,5.927083,5.9375,257600,0.623581
"106",1975-11-17,5.9375,5.9375,5.895833,5.90625,417600,0.620299
"107",1975-11-18,5.90625,5.947917,5.833333,5.833333,465600,0.61264
"108",1975-11-19,5.802083,5.802083,5.59375,5.65625,422400,0.594042
"109",1975-11-20,5.666667,5.770833,5.666667,5.708333,476000,0.599513
"110",1975-11-21,5.708333,5.739583,5.645833,5.666667,384000,0.595137
"111",1975-11-24,5.666667,5.71875,5.666667,5.677083,309600,0.59623
"112",1975-11-25,5.6875,5.760417,5.6875,5.729167,422400,0.601701
"113",1975-11-26,5.729167,5.770833,5.6875,5.708333,284000,0.599513
"114",1975-11-28,5.708333,5.791667,5.708333,5.75,225600,0.603888
"115",1975-12-01,5.75,5.770833,5.645833,5.697917,332000,0.598419
"116",1975-12-02,5.697917,5.697917,5.604167,5.645833,482400,0.592949
"117",1975-12-03,5.583333,5.583333,5.458333,5.46875,636800,0.574351
"118",1975-12-04,5.46875,5.5625,5.416667,5.53125,610400,0.580914
"119",1975-12-05,5.53125,5.572917,5.520833,5.520833,436800,0.579821
"120",1975-12-08,5.520833,5.541667,5.4375,5.520833,1428800,0.579821
"121",1975-12-09,5.520833,5.59375,5.489583,5.59375,316800,0.587479
"122",1975-12-10,5.614583,5.65625,5.614583,5.635417,377600,0.591855
"123",1975-12-11,5.645833,5.697917,5.645833,5.697917,317600,0.598419
"124",1975-12-12,5.697917,5.739583,5.677083,5.739583,297600,0.602795
"125",1975-12-15,5.739583,5.770833,5.697917,5.697917,221600,0.598419
"126",1975-12-16,5.697917,5.760417,5.6875,5.729167,235200,0.601701
"127",1975-12-17,5.71875,5.71875,5.6875,5.697917,254400,0.598419
"128",1975-12-18,5.697917,5.697917,5.677083,5.697917,302400,0.598419
"129",1975-12-19,5.697917,5.708333,5.614583,5.625,360800,0.59076
"130",1975-12-22,5.583333,5.583333,5.541667,5.541667,226400,0.582009
"131",1975-12-23,5.541667,5.625,5.520833,5.604167,464000,0.588572
"132",1975-12-24,5.604167,5.65625,5.604167,5.645833,283200,0.592949
"133",1975-12-26,5.645833,5.75,5.635417,5.739583,144800,0.602795
"134",1975-12-29,5.739583,5.802083,5.739583,5.791667,303200,0.608265
"135",1975-12-30,5.791667,5.864583,5.760417,5.770833,525600,0.606077
"136",1975-12-31,5.770833,5.822917,5.770833,5.8125,243200,0.610453
"137",1976-01-02,5.8125,5.947917,5.802083,5.927083,156000,0.622487
"138",1976-01-05,5.979167,6.072917,5.979167,6.020833,328800,0.632333
"139",1976-01-06,6.020833,6.15625,6,6.083333,928800,0.638897
"140",1976-01-07,6.083333,6.208333,6.041667,6.125,832800,0.643273
"141",1976-01-08,6.125,6.208333,6.104167,6.114583,1121600,0.642179
"142",1976-01-09,6.114583,6.197917,6.09375,6.166667,442400,0.647649
"143",1976-01-12,6.166667,6.28125,6.135417,6.28125,840800,0.659683
"144",1976-01-13,6.28125,6.375,6.177083,6.177083,1352000,0.648743
"145",1976-01-14,6.177083,6.229167,6.145833,6.229167,512000,0.654213
"146",1976-01-15,6.229167,6.28125,6.208333,6.229167,688800,0.654213
"147",1976-01-16,6.229167,6.270833,6.21875,6.25,592800,0.656401
"148",1976-01-19,6.25,6.333333,6.208333,6.333333,434400,0.665153
"149",1976-01-20,6.354167,6.4375,6.354167,6.416667,6e+05,0.673904
"150",1976-01-21,6.416667,6.458333,6.322917,6.416667,818400,0.673904
"151",1976-01-22,6.40625,6.40625,6.354167,6.395833,720000,0.671717
"152",1976-01-23,6.395833,6.5,6.395833,6.5,6e+05,0.682657
"153",1976-01-26,6.5,6.677083,6.5,6.583333,1003200,0.691409
"154",1976-01-27,6.583333,6.65625,6.5625,6.614583,941600,0.694691
"155",1976-01-28,6.614583,6.677083,6.552083,6.635417,856800,0.696879
"156",1976-01-29,6.645833,6.75,6.645833,6.65625,823200,0.699067
"157",1976-01-30,6.65625,6.729167,6.645833,6.666667,1336800,0.700161
"158",1976-02-02,6.666667,6.71875,6.614583,6.6875,799200,0.702349
