"","date","open","high","low","close","volume","adjusted"
"1",1990-02-16,0,0.079861,0.073785,0.077257,940636800,0.059806
"2",1990-02-20,0,0.079861,0.074653,0.079861,151862400,0.061822
"3",1990-02-21,0,0.078993,0.075521,0.078125,70531200,0.060478
"4",1990-02-22,0,0.081597,0.078993,0.078993,45216000,0.06115
"5",1990-02-23,0,0.079861,0.078125,0.078559,44697600,0.060814
"6",1990-02-26,0,0.079861,0.076389,0.076389,26928000,0.059134
"7",1990-02-27,0,0.079427,0.076389,0.078125,25574400,0.060478
"8",1990-02-28,0,0.082465,0.078125,0.080729,67968000,0.062494
"9",1990-03-01,0,0.081597,0.079861,0.079861,28425600,0.061822
"10",1990-03-02,0,0.081597,0.079861,0.080729,8438400,0.062494
"11",1990-03-05,0,0.081597,0.079861,0.079861,2419200,0.061822
"12",1990-03-06,0,0.081597,0.078993,0.079861,23904000,0.061822
"13",1990-03-07,0,0.079861,0.077257,0.078125,18172800,0.060478
"14",1990-03-08,0,0.078993,0.077257,0.077257,33523200,0.059806
"15",1990-03-09,0,0.078125,0.077257,0.077257,11145600,0.059806
"16",1990-03-12,0,0.079861,0.077257,0.078993,20304000,0.06115
"17",1990-03-13,0,0.083333,0.078993,0.081597,53020800,0.063166
"18",1990-03-14,0,0.091146,0.081597,0.090278,87350400,0.069885
"19",1990-03-15,0,0.090278,0.085069,0.085938,38620800,0.066525
"20",1990-03-16,0,0.087674,0.085938,0.087674,19929600,0.067869
"21",1990-03-19,0,0.091146,0.085069,0.090278,43027200,0.069885
"22",1990-03-20,0,0.091146,0.082465,0.082465,43228800,0.063838
"23",1990-03-21,0,0.085069,0.082465,0.083333,19900800,0.06451
"24",1990-03-22,0,0.085069,0.077257,0.078125,43776000,0.060478
"25",1990-03-23,0,0.082465,0.078125,0.080729,16905600,0.062494
"26",1990-03-26,0.082465,0.084201,0.081597,0.084201,41702400,0.065182
"27",1990-03-27,0.083333,0.085938,0.082465,0.085938,15926400,0.066525
"28",1990-03-28,0.085938,0.085938,0.085069,0.085069,9792000,0.065853
"29",1990-03-29,0.085069,0.085069,0.083333,0.085069,16272000,0.065853
"30",1990-03-30,0.083333,0.083333,0.079861,0.081597,28742400,0.063166
"31",1990-04-02,0.078993,0.080729,0.077257,0.079861,15868800,0.061822
"32",1990-04-03,0.078993,0.081597,0.078993,0.080729,8352000,0.062494
"33",1990-04-04,0.080729,0.081597,0.080729,0.080729,14284800,0.062494
"34",1990-04-05,0.081597,0.081597,0.079861,0.080295,8323200,0.062158
"35",1990-04-06,0.079861,0.080729,0.078993,0.078993,10771200,0.06115
"36",1990-04-09,0.079861,0.079861,0.078125,0.078125,6681600,0.060478
"37",1990-04-10,0.078125,0.079861,0.074653,0.076389,34790400,0.059134
"38",1990-04-11,0.076389,0.077257,0.075521,0.076389,24796800,0.059134
"39",1990-04-12,0.077257,0.077257,0.075521,0.077257,13161600,0.059806
"40",1990-04-16,0.077257,0.078125,0.076389,0.077257,5616000,0.059806
"41",1990-04-17,0.076389,0.078125,0.075521,0.078125,6566400,0.060478
"42",1990-04-18,0.078125,0.079861,0.077257,0.078993,24480000,0.06115
"43",1990-04-19,0.078125,0.079861,0.078125,0.079861,25142400,0.061822
"44",1990-04-20,0.079861,0.079861,0.077257,0.077257,8755200,0.059806
"45",1990-04-23,0.077257,0.078993,0.076389,0.078125,5356800,0.060478
"46",1990-04-24,0.079861,0.079861,0.078993,0.079427,10281600,0.061486
"47",1990-04-25,0.079861,0.080729,0.079861,0.079861,6768000,0.061822
"48",1990-04-26,0.079861,0.081597,0.079861,0.079861,10713600,0.061822
"49",1990-04-27,0.079861,0.080729,0.078993,0.078993,4204800,0.06115
