"","date","open","high","low","close","volume","adjusted"
"1",1975-06-25,1.048156,1.058432,1.03788,1.040449,1196900,0.421385
"2",1975-06-26,1.040449,1.06357,1.040449,1.040449,1376900,0.421385
"3",1975-06-27,1.040449,1.058432,1.027604,1.03788,3245400,0.420345
"4",1975-06-30,1.03788,1.045587,1.027604,1.03788,1878100,0.420345
"5",1975-07-01,1.03788,1.058432,1.035311,1.045587,1664000,0.423466
"6",1975-07-02,1.043018,1.043018,1.027604,1.032742,1493700,0.418264
"7",1975-07-03,1.035311,1.058432,1.035311,1.058432,1158000,0.428668
"8",1975-07-07,1.055863,1.055863,1.017328,1.027604,3225900,0.416183
"9",1975-07-08,1.025035,1.025035,1.009621,1.019897,2530100,0.413062
"10",1975-07-09,1.058432,1.086691,1.058432,1.081553,5313300,0.438032
"11",1975-07-10,1.081553,1.117519,1.076415,1.084122,4977500,0.439073
"12",1975-07-11,1.086691,1.107244,1.086691,1.096967,2101900,0.444275
"13",1975-07-14,1.096967,1.107244,1.08926,1.104674,2476600,0.447396
"14",1975-07-15,1.104674,1.117519,1.102105,1.102105,1552100,0.446356
"15",1975-07-16,1.102105,1.102105,1.078984,1.084122,1921900,0.439073
"16",1975-07-17,1.084122,1.084122,1.048156,1.058432,2077600,0.428668
"17",1975-07-18,1.058432,1.076415,1.050725,1.061001,1454800,0.429709
"18",1975-07-21,1.061001,1.073846,1.032742,1.03788,2218700,0.420345
"19",1975-07-22,1.03788,1.03788,1.009621,1.014759,3430300,0.410981
"20",1975-07-23,1.01219,1.01219,0.965948,0.976224,3839000,0.395374
"21",1975-07-24,0.976224,0.978793,0.924844,0.953103,5717100,0.38601
"22",1975-07-25,0.953103,0.963379,0.927413,0.93512,3517800,0.378727
"23",1975-07-28,0.93512,0.947965,0.917137,0.942827,2408500,0.381848
"24",1975-07-29,0.942827,0.96081,0.927413,0.940258,3736800,0.380807
"25",1975-07-30,0.940258,0.976224,0.93512,0.958241,2958300,0.388091
"26",1975-07-31,0.958241,0.9865,0.945396,0.945396,3026400,0.382888
"27",1975-08-01,0.945396,0.950534,0.924844,0.924844,1824600,0.374564
"28",1975-08-04,0.917137,0.917137,0.886309,0.886309,5318100,0.358958
"29",1975-08-05,0.886309,0.899154,0.863187,0.863187,4554200,0.349594
"30",1975-08-06,0.863187,0.894016,0.860618,0.891447,4140600,0.361039
"31",1975-08-07,0.891447,0.901723,0.878602,0.881171,3308600,0.356877
"32",1975-08-08,0.881171,0.881171,0.834928,0.842635,2904800,0.34127
"33",1975-08-11,0.842635,0.860618,0.82979,0.858049,2831800,0.347513
"34",1975-08-12,0.870895,0.899154,0.870895,0.878602,2929100,0.355836
"35",1975-08-13,0.878602,0.88374,0.85548,0.85548,2116500,0.346472
"36",1975-08-14,0.85548,0.858049,0.834928,0.845204,3615200,0.34231
"37",1975-08-15,0.850342,0.870895,0.850342,0.868326,1153100,0.351675
"38",1975-08-18,0.868326,0.876033,0.858049,0.858049,1119100,0.347513
"39",1975-08-19,0.858049,0.868326,0.837497,0.842635,1985200,0.34127
"40",1975-08-20,0.842635,0.842635,0.814376,0.822083,3474100,0.332946
"41",1975-08-21,0.822083,0.845204,0.814376,0.82979,3517800,0.336068
"42",1975-08-22,0.834928,0.860618,0.834928,0.858049,2768500,0.347513
"43",1975-08-25,0.858049,0.888878,0.850342,0.858049,3031300,0.347513
"44",1975-08-26,0.852911,0.852911,0.834928,0.837497,2072700,0.339189
"45",1975-08-27,0.837497,0.858049,0.834928,0.858049,1109300,0.347513
"46",1975-08-28,0.870895,0.899154,0.870895,0.899154,3736800,0.36416
"47",1975-08-29,0.899154,0.929982,0.894016,0.914568,3547000,0.370403
"48",1975-09-02,0.914568,0.922275,0.876033,0.878602,2374400,0.355836
"49",1975-09-03,0.878602,0.90943,0.863187,0.90943,3250200,0.368322
"50",1975-09-04,0.90943,0.922275,0.894016,0.894016,2267400,0.362079
"51",1975-09-05,0.894016,0.906861,0.888878,0.894016,2243000,0.362079
"52",1975-09-08,0.894016,0.917137,0.88374,0.899154,1834300,0.36416
"53",1975-09-09,0.899154,0.919706,0.847773,0.858049,2963200,0.347513
"54",1975-09-10,0.85548,0.85548,0.832359,0.852911,2486300,0.345432
"55",1975-09-11,0.852911,0.876033,0.847773,0.860618,1586200,0.348553
"56",1975-09-12,0.860618,0.886309,0.85548,0.865757,1980300,0.350634
"57",1975-09-15,0.865757,0.868326,0.850342,0.85548,1109300,0.346472
"58",1975-09-16,0.85548,0.873464,0.840066,0.847773,1532600,0.343351
"59",1975-09-17,0.847773,0.852911,0.834928,0.842635,1143400,0.34127
"60",1975-09-18,0.850342,0.901723,0.850342,0.894016,2476600,0.362079
"61",1975-09-19,0.901723,0.937689,0.901723,0.932551,4476400,0.377686
"62",1975-09-22,0.932551,0.953103,0.917137,0.919706,3269700,0.372484
"63",1975-09-23,0.919706,0.945396,0.899154,0.945396,4194200,0.382888
"64",1975-09-24,0.947965,0.971086,0.947965,0.958241,4087100,0.388091
"65",1975-09-25,0.958241,0.978793,0.945396,0.965948,2982600,0.391212
"66",1975-09-26,0.965948,0.983931,0.958241,0.96081,3561600,0.389131
"67",1975-09-29,0.958241,0.958241,0.927413,0.932551,1376900,0.377686
"68",1975-09-30,0.919706,0.919706,0.899154,0.906861,4048200,0.367281
"69",1975-10-01,0.906861,0.914568,0.863187,0.870895,3187000,0.352715
"70",1975-10-02,0.870895,0.906861,0.863187,0.899154,1824600,0.36416
"71",1975-10-03,0.901723,0.963379,0.901723,0.950534,2296600,0.384969
"72",1975-10-06,0.950534,0.965948,0.942827,0.953103,3118900,0.38601
"73",1975-10-07,0.953103,0.955672,0.932551,0.955672,1951100,0.38705
"74",1975-10-08,0.955672,0.971086,0.945396,0.955672,3391300,0.38705
"75",1975-10-09,0.955672,0.968517,0.950534,0.953103,1683500,0.38601
"76",1975-10-10,0.953103,0.958241,0.937689,0.947965,1513200,0.383929
"77",1975-10-13,0.947965,0.996776,0.942827,0.996776,3167500,0.403697
"78",1975-10-14,0.996776,1.022466,0.9865,0.994207,4904600,0.402657
"79",1975-10-15,0.994207,1.004483,0.983931,0.9865,2306300,0.399536
"80",1975-10-16,0.9865,1.01219,0.976224,0.978793,3649200,0.396414
"81",1975-10-17,0.978793,1.001914,0.947965,0.971086,4374200,0.393293
"82",1975-10-20,0.971086,1.007052,0.971086,1.007052,2189500,0.40786
"83",1975-10-21,1.014759,1.032742,1.014759,1.027604,4554200,0.416183
"84",1975-10-22,1.027604,1.035311,1.007052,1.009621,2997200,0.4089
"85",1975-10-23,1.009621,1.030173,1.007052,1.019897,2359800,0.413062
"86",1975-10-24,1.019897,1.022466,0.9865,0.989069,2306300,0.400576
"87",1975-10-27,0.989069,0.996776,0.976224,0.991638,2710100,0.401616
"88",1975-10-28,0.991638,1.017328,0.991638,1.01219,3021500,0.40994
"89",1975-10-29,1.007052,1.007052,0.989069,0.991638,2427900,0.401616
"90",1975-10-30,0.991638,1.01219,0.989069,1.004483,2111700,0.406819
"91",1975-10-31,1.004483,1.01219,0.994207,1.001914,2354900,0.405778
"92",1975-11-03,1.001914,1.004483,0.989069,0.999345,1289400,0.404738
"93",1975-11-04,0.999345,1.007052,0.991638,1.001914,1153100,0.405778
"94",1975-11-05,1.009621,1.040449,1.009621,1.035311,4096900,0.419304
"95",1975-11-06,1.035311,1.048156,1.019897,1.035311,4082300,0.419304
"96",1975-11-07,1.035311,1.045587,1.030173,1.045587,2919400,0.423466
"97",1975-11-10,1.045587,1.048156,1.027604,1.043018,1625100,0.422426
"98",1975-11-11,1.043018,1.055863,1.03788,1.043018,3196700,0.422426
"99",1975-11-12,1.050725,1.076415,1.050725,1.073846,3761100,0.434911
"100",1975-11-13,1.073846,1.096967,1.071277,1.073846,4495800,0.434911
"101",1975-11-14,1.073846,1.081553,1.066139,1.076415,3162600,0.435952
"102",1975-11-17,1.081553,1.096967,1.081553,1.096967,2656600,0.444275
"103",1975-11-18,1.096967,1.102105,1.048156,1.061001,3182100,0.429709
"104",1975-11-19,1.061001,1.076415,1.027604,1.045587,3055600,0.423466
"105",1975-11-20,1.045587,1.055863,1.03788,1.043018,1605600,0.422426
"106",1975-11-21,1.043018,1.050725,1.032742,1.050725,953600,0.425547
"107",1975-11-24,1.050725,1.068708,1.045587,1.061001,978000,0.429709
"108",1975-11-25,1.06357,1.073846,1.06357,1.068708,1878100,0.43283
"109",1975-11-26,1.068708,1.081553,1.06357,1.068708,2257600,0.43283
"110",1975-11-28,1.068708,1.068708,1.055863,1.061001,1620200,0.429709
"111",1975-12-01,1.061001,1.068708,1.007052,1.009621,2963200,0.4089
"112",1975-12-02,1.009621,1.017328,0.996776,0.999345,1698100,0.404738
"113",1975-12-03,0.996776,0.996776,0.981362,0.989069,2958300,0.400576
"114",1975-12-04,0.989069,1.004483,0.971086,0.996776,1897600,0.403697
"115",1975-12-05,0.996776,1.001914,0.955672,0.96081,1362300,0.389131
"116",1975-12-08,0.96081,0.976224,0.955672,0.958241,1192000,0.388091
"117",1975-12-09,0.96081,0.978793,0.96081,0.978793,1235800,0.396414
"118",1975-12-10,0.978793,0.994207,0.976224,0.994207,1678600,0.402657
"119",1975-12-11,0.994207,1.004483,0.9865,0.991638,2359800,0.401616
"120",1975-12-12,0.991638,0.996776,0.981362,0.996776,2831800,0.403697
"121",1975-12-15,0.9865,0.9865,0.968517,0.978793,1269900,0.396414
"122",1975-12-16,0.9865,1.001914,0.9865,0.9865,2525200,0.399536
"123",1975-12-17,0.989069,1.007052,0.989069,0.994207,1128800,0.402657
"124",1975-12-18,0.994207,0.999345,0.9865,0.996776,1235800,0.403697
"125",1975-12-19,0.996776,0.999345,0.973655,0.973655,2184600,0.394333
"126",1975-12-22,0.973655,0.976224,0.953103,0.953103,1031500,0.38601
"127",1975-12-23,0.953103,0.983931,0.953103,0.981362,1853800,0.397455
"128",1975-12-24,0.981362,0.999345,0.978793,0.994207,909800,0.402657
"129",1975-12-26,0.994207,1.022466,0.994207,1.022466,1561800,0.414102
"130",1975-12-29,1.022466,1.030173,1.014759,1.014759,1790500,0.410981
"131",1975-12-30,1.014759,1.019897,1.009621,1.017328,681100,0.412021
"132",1975-12-31,1.019897,1.030173,1.019897,1.025035,1050900,0.415142
"133",1976-01-02,1.030173,1.068708,1.030173,1.068708,992600,0.43283
"134",1976-01-05,1.068708,1.073846,1.050725,1.066139,2325700,0.43179
"135",1976-01-06,1.066139,1.068708,1.055863,1.06357,7147600,0.430749
"136",1976-01-07,1.06357,1.073846,1.050725,1.055863,5225700,0.427628
"137",1976-01-08,1.055863,1.066139,1.050725,1.055863,2802600,0.427628
"138",1976-01-09,1.055863,1.094398,1.053294,1.084122,10237400,0.439073
"139",1976-01-12,1.084122,1.102105,1.081553,1.08926,7298500,0.441154
"140",1976-01-13,1.08926,1.107244,1.071277,1.071277,6339900,0.433871
"141",1976-01-14,1.071277,1.094398,1.06357,1.091829,5128400,0.442194
"142",1976-01-15,1.109812,1.150917,1.109812,1.117519,12582600,0.452599
"143",1976-01-16,1.117519,1.150917,1.112381,1.125227,6388600,0.45572
"144",1976-01-19,1.125227,1.145779,1.117519,1.145779,3644300,0.464044
"145",1976-01-20,1.145779,1.158624,1.138072,1.148348,6271800,0.465084
"146",1976-01-21,1.148348,1.186883,1.130365,1.171469,5079700,0.474449
"147",1976-01-22,1.171469,1.202297,1.161193,1.202297,2968000,0.486934
"148",1976-01-23,1.202297,1.227987,1.202297,1.217711,4082300,0.493177
"149",1976-01-26,1.217711,1.233125,1.163762,1.184314,3955800,0.479651
"150",1976-01-27,1.184314,1.197159,1.148348,1.156055,4077400,0.468206
"151",1976-01-28,1.156055,1.186883,1.138072,1.166331,3950900,0.472368
"152",1976-01-29,1.166331,1.212573,1.163762,1.207435,3235600,0.489015
"153",1976-01-30,1.215142,1.233125,1.215142,1.222849,6101500,0.495258
"154",1976-02-02,1.222849,1.225418,1.199728,1.225418,3785500,0.496298
"155",1976-02-03,1.225418,1.251108,1.222849,1.251108,5425200,0.506703
"156",1976-02-04,1.256246,1.284505,1.256246,1.284505,5108900,0.520229
"157",1976-02-05,1.284505,1.289643,1.240832,1.24597,5780400,0.504622
"158",1976-02-06,1.235694,1.235694,1.207435,1.212573,4023900,0.491096
"159",1976-02-09,1.215142,1.258815,1.215142,1.235694,2715000,0.50046
"160",1976-02-10,1.235694,1.253677,1.235694,1.251108,2617700,0.506703
"161",1976-02-11,1.251108,1.266522,1.248539,1.251108,3196700,0.506703
"162",1976-02-12,1.251108,1.269091,1.243401,1.243401,2384100,0.503581
"163",1976-02-13,1.243401,1.24597,1.222849,1.233125,2685800,0.49942
"164",1976-02-17,1.233125,1.233125,1.212573,1.215142,2106800,0.492136
"165",1976-02-18,1.215142,1.227987,1.210004,1.215142,1790500,0.492136
"166",1976-02-19,1.225418,1.261384,1.225418,1.258815,2792900,0.509824
"167",1976-02-20,1.269091,1.289643,1.269091,1.279367,3138300,0.518148
"168",1976-02-23,1.279367,1.292212,1.269091,1.284505,1931600,0.520229
"169",1976-02-24,1.284505,1.294781,1.281936,1.284505,3041000,0.520229
"170",1976-02-25,1.284505,1.294781,1.258815,1.269091,2179800,0.513986
"171",1976-02-26,1.269091,1.274229,1.235694,1.235694,1732100,0.50046
"172",1976-02-27,1.233125,1.233125,1.217711,1.230556,1999700,0.498379
"173",1976-03-01,1.230556,1.238263,1.227987,1.230556,1561800,0.498379
"174",1976-03-02,1.230556,1.248539,1.227987,1.240832,4199000,0.502541
"175",1976-03-03,1.240832,1.240832,1.212573,1.212573,1605600,0.491096
"176",1976-03-04,1.210004,1.210004,1.179176,1.181745,2685800,0.47861
