"","date","open","high","low","close","volume","adjusted"
"1",2019-03-20,52.75,53.5,49.5,49.799999,2350800,47.665951
"2",2019-03-21,49.990002,50,48.200001,48.98,1764700,46.881088
"3",2019-03-22,48.799999,49.950001,48.16,48.599998,844700,46.517372
"4",2019-03-25,48.599998,49.400002,48,49.150002,440900,47.043808
"5",2019-03-26,49,49.75,48.18,48.849998,504700,46.75666
"6",2019-03-27,49,50.779999,49,50.099998,1788600,47.953094
"7",2019-03-28,50.900002,51,49.915001,50.849998,585400,48.670952
"8",2019-03-29,49.52,52.48,49.18,51.630001,1769000,49.41753
"9",2019-04-01,52.299999,54.389999,51.25,53.5,19663400,51.207397
"10",2019-04-02,55.119999,57.389999,54.299999,56.25,17414200,53.839554
"11",2019-04-03,57.080002,57.200001,55.509998,56.880001,15066200,54.442554
"12",2019-04-04,57.200001,60.52,57.099998,59.709999,13309200,57.151279
"13",2019-04-05,58.389999,58.98,56.27,57.240002,17000800,54.787128
"14",2019-04-08,56.5,58.389999,56.27,57.150002,10764600,54.700985
"15",2019-04-09,56.799999,57.200001,56.080002,56.27,9179900,53.858696
"16",2019-04-10,55.990002,56.41,55.099998,55.709999,9081900,53.322693
"17",2019-04-11,55.700001,56.209999,54.830002,54.889999,7346100,52.537827
"18",2019-04-12,55.93,58.330002,55.93,58.299999,9281700,55.801704
"19",2019-04-15,58.57,58.849998,57.290001,57.779999,5727300,55.303989
"20",2019-04-16,58.709999,58.990002,57.84,58.5,6681600,55.993134
"21",2019-04-17,58.950001,59.049999,58.200001,58.32,6420700,55.820847
"22",2019-04-18,58.360001,58.610001,57.549999,57.77,5178800,55.294418
"23",2019-04-22,57.48,58.41,57.259998,57.889999,4401700,55.409275
"24",2019-04-23,57.290001,57.84,57,57.639999,5687200,55.169991
"25",2019-04-24,57.490002,57.889999,55.865002,55.98,5431300,53.581123
"26",2019-04-25,55.759998,55.98,54.82,55.330002,6260500,52.958977
"27",2019-04-26,55.299999,55.599998,54.950001,55.25,4009800,52.882401
"28",2019-04-29,55.049999,55.685001,54.799999,55.5,5935200,53.121693
"29",2019-04-30,55.759998,57.205002,55.599998,56.73,6454100,54.298981
"30",2019-05-01,56.82,57.48,55.880001,56.130001,7644400,53.724697
"31",2019-05-02,55.540001,56.490002,52.029999,52.700001,13932700,50.441677
"32",2019-05-03,53.200001,53.349998,51.720001,53.299999,7401700,51.015968
"33",2019-05-06,52.150002,54.029999,51.700001,53.459999,6089500,51.169106
"34",2019-05-07,52.860001,53.325001,52.650002,52.950001,7330800,50.680965
"35",2019-05-08,53.330002,53.395,52.310001,52.48,5390700,50.231106
"36",2019-05-09,52.259998,53.139999,51.549999,52.93,4579700,50.661823
"37",2019-05-10,52.939999,53.714001,52.490002,53.07,4758100,50.795822
"38",2019-05-13,52.279999,52.549999,50.759998,50.950001,4213100,48.766674
"39",2019-05-14,51.330002,53,50.84,52.48,4204500,50.231106
"40",2019-05-15,51.98,53.325001,51.669998,52.950001,2928700,50.680965
"41",2019-05-16,53.290001,53.549999,52.73,52.98,3689700,50.709679
"42",2019-05-17,52.34,52.52,50.66,50.799999,4440800,48.623096
"43",2019-05-20,50.400002,50.540001,49.919998,50.080002,5168400,47.933956
"44",2019-05-21,50.279999,51.189999,50.02,50.630001,4968400,48.460384
"45",2019-05-22,50.459999,50.610001,49.965,50.209999,3019100,48.05838
"46",2019-05-23,49.5,49.860001,48.209999,48.709999,4919200,46.622654
"47",2019-05-24,49.389999,49.575001,48.439999,49.200001,2918400,47.091663
"48",2019-05-28,49.369999,49.43,48.099998,48.560001,6613000,46.479084
"49",2019-05-29,48.200001,49.43,48.009998,48.709999,3525900,46.622654
"50",2019-05-30,48.119999,48.59,48.02,48.470001,3777600,47.069366
"51",2019-05-31,47.959999,48,46.75,46.759998,3396900,45.408779
"52",2019-06-03,46.849998,47.959999,46.849998,47.959999,5905200,46.574104
"53",2019-06-04,48.68,49.93,48.639999,49.93,7043000,48.487175
"54",2019-06-05,50.490002,50.57,49.049999,50.34,6413300,48.885326
"55",2019-06-06,50.279999,51.310001,50.150002,51.060001,6228100,49.584522
"56",2019-06-07,51.130001,51.689999,50.869999,51.299999,5391100,49.817589
"57",2019-06-10,51.720001,52.099998,51.580002,51.619999,5434400,50.128338
"58",2019-06-11,52,52.169998,51.560001,52.040001,5144300,50.536201
"59",2019-06-12,52.060001,52.639999,51.68,52.490002,3103900,50.973202
"60",2019-06-13,52.68,52.950001,52.040001,52.880001,4179800,51.351933
"61",2019-06-14,52.630001,52.689999,51,51.150002,3919300,49.671925
"62",2019-06-17,50.060001,50.330002,49.049999,49.349998,5787300,47.923935
"63",2019-06-18,49.75,50.57,49.400002,49.610001,5014200,48.176426
"64",2019-06-19,49.950001,50.240002,48.330002,48.5,5404000,47.098499
"65",2019-06-20,49.095001,49.59,48.619999,48.93,4228300,47.516071
"66",2019-06-21,48.82,49.27,48.310001,48.360001,9478500,46.962543
"67",2019-06-24,48.509998,49.700001,48.32,49.580002,4602300,48.147293
"68",2019-06-25,49.490002,50.223,49.049999,49.689999,4005200,48.254108
"69",2019-06-26,49.849998,51.220001,49.810001,50.450001,5244400,48.992149
"70",2019-06-27,50.610001,51.139999,50.530998,50.91,4097200,49.438854
"71",2019-06-28,51.040001,51.200001,49.080002,49.310001,6507400,47.885094
"72",2019-07-01,50,50.200001,49.52,50.16,4659600,48.710529
"73",2019-07-02,50,50.060001,48.759998,49.400002,4725800,47.972496
"74",2019-07-03,49.459999,49.650002,49.200001,49.330002,2479400,47.904518
"75",2019-07-05,49.009998,49.369999,48.959999,49.310001,2529800,47.885094
"76",2019-07-08,49.34,49.5,48.384998,48.52,5936000,47.11792
"77",2019-07-09,48.299999,48.43,47.5,47.869999,4967400,46.486702
"78",2019-07-10,48.34,48.419998,47.52,47.549999,3507400,46.175953
"79",2019-07-11,47.73,48.060001,47.18,47.779999,4202000,46.399303
"80",2019-07-12,48.459999,50.040001,48.080002,49.709999,4328400,48.273533
"81",2019-07-15,49.77,50.950001,49.66,50.93,4923800,49.458279
"82",2019-07-16,50.950001,52.645,50.950001,52.32,6011200,50.808109
"83",2019-07-17,52.16,52.299999,51.23,51.599998,4417500,50.108917
"84",2019-07-18,51.549999,52.049999,51.279999,51.75,3662600,50.254581
"85",2019-07-19,51.77,51.830002,51.5,51.52,3221500,50.031231
"86",2019-07-22,51.504002,51.57,50.599998,50.880001,2814900,49.409725
"87",2019-07-23,51,52.900002,50.950001,52.619999,4387700,51.099442
"88",2019-07-24,52.5,52.990002,52.040001,52.790001,3516400,51.264534
"89",2019-07-25,51.639999,51.990002,50.299999,50.77,4253700,49.302902
"90",2019-07-26,50.27,50.299999,48.919998,49.110001,5066000,47.690872
"91",2019-07-29,48.52,48.880001,47.98,48.049999,4219800,46.661503
"92",2019-07-30,47.779999,48.439999,47.779999,48.400002,4194300,47.001392
"93",2019-07-31,48.490002,49.43,47.950001,48.439999,5188500,47.04023
"94",2019-08-01,48.150002,48.599998,46.779999,46.849998,5803200,45.496174
"95",2019-08-02,46.689999,47.5,45.369999,45.599998,5346400,44.282299
"96",2019-08-05,45.060001,45.130001,44.07,44.77,5147300,43.476284
"97",2019-08-06,45.110001,45.450001,43.735001,44.43,4702800,43.146111
"98",2019-08-07,44.099998,45,43.91,44.889999,4490100,43.592815
"99",2019-08-08,45.196999,46.82,45.189999,46.790001,4573400,45.437912
"100",2019-08-09,46.419998,46.990002,46.099998,46.639999,4468000,45.292244
"101",2019-08-12,46.389999,46.799999,45.52,45.689999,4491600,44.369698
"102",2019-08-13,45.779999,47.759998,45.580002,46.849998,5407300,45.496174
"103",2019-08-14,45.799999,46.150002,44,44.080002,6178300,42.806225
