"","date","open","high","low","close","volume","adjusted"
"1",1999-05-04,76,77.25,70,70.375,22320900,56.159458
"2",1999-05-05,69.875,69.875,66.25,69.125,7565700,55.161922
"3",1999-05-06,68,69.375,67.0625,67.9375,2905700,54.214314
"4",1999-05-07,67.9375,74.875,66.75,74.125,4862300,59.151947
"5",1999-05-10,73.375,73.5,70.25,70.6875,2589400,56.408821
"6",1999-05-11,70,71.1875,69.5,70.625,1839800,56.358944
"7",1999-05-12,71,74.875,69.125,73.5,2659300,58.653183
"8",1999-05-13,73.25,75.25,72.5,73.1875,1142900,58.403831
"9",1999-05-14,71.25,72.25,69.0625,70.1875,2058400,56.009819
"10",1999-05-17,69.125,70.25,68,68.625,2075000,54.762951
"11",1999-05-18,68.25,70.4375,68.125,68.625,1407100,54.762951
"12",1999-05-19,69.375,69.8125,68.75,69.3125,727400,55.311573
"13",1999-05-20,69.5625,70.125,68.375,68.375,520800,54.563423
"14",1999-05-21,68.125,68.8125,67.5,67.5,936200,53.865173
"15",1999-05-24,67,67.25,65,65.3125,1493000,52.119553
"16",1999-05-25,64.125,65.9375,64,64.5,1662400,51.47118
"17",1999-05-26,65.625,66.625,63.0625,66.0625,1602900,52.718082
"18",1999-05-27,65,67.75,64.6875,67.75,1220500,54.064697
"19",1999-05-28,67.75,68.8125,67,67.9375,901900,54.214314
"20",1999-06-01,66.625,66.625,63.5625,64.1875,953900,51.221798
"21",1999-06-02,63.75,64.0625,62,63.25,2204300,50.473682
"22",1999-06-03,64,64.1875,63.125,63.625,852600,50.772934
"23",1999-06-04,64.3125,67,64.3125,65.375,1357400,52.169426
"24",1999-06-07,65.1875,67.75,65.1875,65.9375,891900,52.618324
"25",1999-06-08,65.375,65.6875,63.75,63.75,571700,50.872684
"26",1999-06-09,64.25,65.5,63.625,65.5,611400,52.269161
"27",1999-06-10,64.875,64.9375,63.3125,63.375,664200,50.573418
"28",1999-06-11,63.9375,64.3125,62.3125,63.25,969300,50.473682
"29",1999-06-14,63.5,64,60.5,61.25,821100,48.877674
"30",1999-06-15,62.875,63.375,62.25,62.75,831700,50.074684
"31",1999-06-16,63.9375,65.4375,63.9375,65.25,690300,52.069695
"32",1999-06-17,64.5,66.875,64.5,65,955700,51.87019
"33",1999-06-18,64.25,64.875,63.5,64.8125,613900,51.720566
"34",1999-06-21,66.6875,69.9375,66.5625,69.5,1811000,55.461178
"35",1999-06-22,70.125,70.125,67.75,68,1165900,54.264187
"36",1999-06-23,67.0625,67.4375,64.875,65,1351700,51.87019
