"","date","open","high","low","close","volume","adjusted"
"1",1975-06-30,2.020833,2.039063,2.020833,2.028646,720000,1.6e-05
"2",1975-07-01,2.026042,2.026042,2.005208,2.005208,748800,1.6e-05
"3",1975-07-02,1.994792,1.994792,1.96875,1.96875,1171200,1.6e-05
"4",1975-07-03,1.973958,2.005208,1.973958,1.973958,1488000,1.6e-05
"5",1975-07-07,1.973958,1.979167,1.96875,1.96875,571200,1.6e-05
"6",1975-07-08,1.96875,1.979167,1.958333,1.958333,1257600,1.6e-05
"7",1975-07-09,1.958333,1.973958,1.958333,1.971354,662400,1.6e-05
"8",1975-07-10,1.984375,2.010417,1.984375,1.989583,1315200,1.6e-05
"9",1975-07-11,1.989583,1.989583,1.942708,1.947917,1252800,1.6e-05
"10",1975-07-14,1.953125,1.973958,1.953125,1.96875,1310400,1.6e-05
"11",1975-07-15,1.96875,1.96875,1.953125,1.958333,1022400,1.6e-05
"12",1975-07-16,1.953125,1.953125,1.921875,1.921875,835200,1.5e-05
"13",1975-07-17,1.911458,1.911458,1.895833,1.898438,801600,1.5e-05
"14",1975-07-18,1.898438,1.916667,1.893229,1.901042,547200,1.5e-05
"15",1975-07-21,1.901042,1.901042,1.859375,1.869792,1416000,1.5e-05
"16",1975-07-22,1.869792,1.888021,1.854167,1.880208,1555200,1.5e-05
"17",1975-07-23,1.880208,1.916667,1.877604,1.885417,1190400,1.5e-05
"18",1975-07-24,1.880208,1.880208,1.867188,1.880208,1828800,1.5e-05
"19",1975-07-25,1.880208,1.880208,1.867188,1.867188,1041600,1.5e-05
"20",1975-07-28,1.867188,1.872396,1.859375,1.861979,1046400,1.5e-05
"21",1975-07-29,1.861979,1.872396,1.84375,1.851563,1555200,1.5e-05
"22",1975-07-30,1.851563,1.859375,1.841146,1.84375,1022400,1.5e-05
"23",1975-07-31,1.848958,1.869792,1.848958,1.854167,1027200,1.5e-05
"24",1975-08-01,1.854167,1.856771,1.841146,1.848958,1209600,1.5e-05
"25",1975-08-04,1.848958,1.851563,1.838542,1.838542,753600,1.5e-05
"26",1975-08-05,1.838542,1.848958,1.828125,1.830729,1492800,1.5e-05
"27",1975-08-06,1.830729,1.84375,1.791667,1.830729,2160000,1.5e-05
"28",1975-08-07,1.830729,1.854167,1.828125,1.835938,844800,1.5e-05
"29",1975-08-08,1.835938,1.851563,1.833333,1.833333,6e+05,1.5e-05
"30",1975-08-11,1.833333,1.869792,1.833333,1.846354,1320000,1.5e-05
"31",1975-08-12,1.846354,1.854167,1.838542,1.848958,1166400,1.5e-05
"32",1975-08-13,1.848958,1.851563,1.791667,1.796875,1430400,1.4e-05
"33",1975-08-14,1.786458,1.786458,1.770833,1.770833,1329600,1.4e-05
"34",1975-08-15,1.770833,1.770833,1.755208,1.755208,3873600,1.4e-05
"35",1975-08-18,1.755208,1.765625,1.75,1.75,624000,1.6e-05
"36",1975-08-19,1.75,1.75,1.729167,1.736979,801600,1.6e-05
"37",1975-08-20,1.723958,1.723958,1.700521,1.700521,1358400,1.5e-05
"38",1975-08-21,1.700521,1.739583,1.700521,1.71875,1632000,1.6e-05
"39",1975-08-22,1.71875,1.736979,1.71875,1.729167,1430400,1.6e-05
"40",1975-08-25,1.729167,1.75,1.729167,1.75,681600,1.6e-05
"41",1975-08-26,1.75,1.760417,1.739583,1.744792,566400,1.6e-05
"42",1975-08-27,1.744792,1.760417,1.736979,1.747396,748800,1.6e-05
"43",1975-08-28,1.760417,1.802083,1.760417,1.802083,1046400,1.6e-05
"44",1975-08-29,1.802083,1.8125,1.791667,1.794271,936000,1.6e-05
"45",1975-09-02,1.794271,1.799479,1.770833,1.776042,619200,1.6e-05
"46",1975-09-03,1.770833,1.770833,1.752604,1.770833,403200,1.6e-05
"47",1975-09-04,1.770833,1.791667,1.763021,1.776042,336000,1.6e-05
"48",1975-09-05,1.773438,1.773438,1.752604,1.755208,657600,1.6e-05
"49",1975-09-08,1.755208,1.760417,1.744792,1.760417,638400,1.6e-05
"50",1975-09-09,1.760417,1.776042,1.731771,1.734375,1238400,1.6e-05
"51",1975-09-10,1.713542,1.713542,1.6875,1.697917,1632000,1.5e-05
"52",1975-09-11,1.697917,1.71875,1.6875,1.705729,940800,1.5e-05
"53",1975-09-12,1.705729,1.71875,1.703125,1.705729,523200,1.5e-05
"54",1975-09-15,1.703125,1.703125,1.682292,1.692708,1358400,1.5e-05
"55",1975-09-16,1.692708,1.692708,1.674479,1.682292,748800,1.5e-05
"56",1975-09-17,1.682292,1.684896,1.669271,1.674479,552000,1.5e-05
"57",1975-09-18,1.674479,1.71875,1.674479,1.713542,902400,1.5e-05
"58",1975-09-19,1.721354,1.78125,1.721354,1.755208,2112000,1.6e-05
"59",1975-09-22,1.755208,1.765625,1.71875,1.71875,4483200,1.6e-05
"60",1975-09-23,1.708333,1.708333,1.648438,1.671875,3571200,1.5e-05
"61",1975-09-24,1.671875,1.6875,1.671875,1.671875,878400,1.5e-05
"62",1975-09-25,1.666667,1.666667,1.653646,1.65625,1420800,1.5e-05
"63",1975-09-26,1.65625,1.666667,1.648438,1.666667,1113600,1.5e-05
"64",1975-09-29,1.666667,1.677083,1.645833,1.645833,787200,1.5e-05
"65",1975-09-30,1.645833,1.645833,1.632813,1.645833,998400,1.5e-05
"66",1975-10-01,1.65625,1.682292,1.65625,1.661458,1147200,1.5e-05
"67",1975-10-02,1.661458,1.692708,1.661458,1.682292,1732800,1.5e-05
"68",1975-10-03,1.682292,1.697917,1.682292,1.697917,1032000,1.5e-05
"69",1975-10-06,1.697917,1.729167,1.697917,1.726563,2020800,1.6e-05
"70",1975-10-07,1.721354,1.721354,1.703125,1.713542,1176000,1.5e-05
"71",1975-10-08,1.713542,1.770833,1.713542,1.770833,4459200,1.6e-05
"72",1975-10-09,1.770833,1.773438,1.752604,1.760417,2092800,1.6e-05
"73",1975-10-10,1.760417,1.760417,1.734375,1.739583,859200,1.6e-05
"74",1975-10-13,1.739583,1.75,1.734375,1.744792,1190400,1.6e-05
