"","date","open","high","low","close","volume","adjusted"
"1",1980-03-17,0,5.12963,5.018518,5.037037,62400,0.293599
"2",1980-03-18,0,5.111111,5.037037,5.074074,63900,0.295758
"3",1980-03-19,0,5.166667,5.111111,5.148148,40500,0.300075
"4",1980-03-20,0,5.148148,5.092593,5.111111,18900,0.297916
"5",1980-03-21,0,5.222222,5.111111,5.222222,97200,0.304393
"6",1980-03-24,0,5.185185,5.092593,5.092593,90300,0.296837
"7",1980-03-25,0,5.111111,5.055555,5.074074,72000,0.295758
"8",1980-03-26,0,5.148148,5.037037,5.111111,31500,0.297916
"9",1980-03-27,0,5.092593,4.925926,5.074074,62100,0.295758
"10",1980-03-28,0,5.074074,4.925926,5.018518,84000,0.292519
"11",1980-03-31,0,5.185185,5.074074,5.166667,55200,0.301154
"12",1980-04-01,0,5.259259,5.074074,5.111111,126000,0.297916
"13",1980-04-02,0,5.296296,5.148148,5.296296,58500,0.30871
"14",1980-04-03,0,5.555555,5.407407,5.5,310800,0.320584
"15",1980-04-07,0,5.62963,5.481482,5.537037,115200,0.322743
"16",1980-04-08,0,5.5,5.444445,5.444445,217800,0.317346
"17",1980-04-09,0,5.407407,5.259259,5.37037,181200,0.313028
"18",1980-04-10,0,5.518518,5.37037,5.481482,191700,0.319504
"19",1980-04-11,0,5.592593,5.462963,5.481482,111900,0.319504
"20",1980-04-14,0,5.481482,5.425926,5.462963,18900,0.318425
"21",1980-04-15,0,5.425926,5.333333,5.333333,63300,0.310869
"22",1980-04-16,0,5.425926,5.37037,5.425926,30000,0.316266
"23",1980-04-17,0,5.388889,5.314815,5.333333,43500,0.310869
"24",1980-04-18,0,5.388889,5.296296,5.296296,27300,0.30871
"25",1980-04-21,0,5.277778,5.111111,5.166667,83700,0.301154
"26",1980-04-22,0,5.333333,5.111111,5.333333,122700,0.310869
"27",1980-04-23,0,5.333333,5.203704,5.333333,132300,0.310869
"28",1980-04-24,0,5.333333,5.222222,5.296296,209100,0.30871
"29",1980-04-25,0,5.277778,5.203704,5.222222,21600,0.304393
"30",1980-04-28,0,5.37037,5.277778,5.333333,141600,0.310869
"31",1980-04-29,0,5.37037,5.314815,5.351852,45000,0.311949
"32",1980-04-30,0,5.425926,5.296296,5.407407,84900,0.315187
"33",1980-05-01,0,5.537037,5.425926,5.5,48600,0.320584
"34",1980-05-02,0,5.592593,5.462963,5.555555,49800,0.323822
"35",1980-05-05,0,5.851852,5.62963,5.851852,621300,0.341093
"36",1980-05-06,0,5.962963,5.759259,5.759259,143400,0.335696
"37",1980-05-07,0,5.925926,5.759259,5.851852,483600,0.341093
"38",1980-05-08,0,5.907407,5.796296,5.833333,36300,0.340013
"39",1980-05-09,0,5.796296,5.722222,5.796296,24600,0.337855
"40",1980-05-12,0,5.796296,5.648148,5.777778,27000,0.336775
"41",1980-05-13,0,5.833333,5.722222,5.759259,40500,0.335696
"42",1980-05-14,0,5.851852,5.777778,5.777778,61200,0.336775
"43",1980-05-15,0,5.814815,5.722222,5.759259,36900,0.335696
"44",1980-05-16,0,5.759259,5.703704,5.740741,11100,0.334616
"45",1980-05-19,0,5.925926,5.740741,5.87037,51300,0.342172
"46",1980-05-20,0,5.87037,5.759259,5.759259,85500,0.335696
"47",1980-05-21,0,5.777778,5.685185,5.722222,40500,0.333537
"48",1980-05-22,0,5.814815,5.666667,5.777778,143400,0.336775
"49",1980-05-23,0,5.888889,5.796296,5.851852,113400,0.341093
"50",1980-05-27,0,5.851852,5.796296,5.796296,57000,0.337855
"51",1980-05-28,0,5.888889,5.814815,5.888889,135000,0.343251
"52",1980-05-29,0,5.907407,5.722222,5.814815,108300,0.338934
"53",1980-05-30,0,5.796296,5.685185,5.796296,80100,0.337855
"54",1980-06-02,0,5.87037,5.722222,5.759259,107100,0.335696
"55",1980-06-03,0,5.814815,5.740741,5.796296,101100,0.337855
"56",1980-06-04,0,5.944445,5.777778,5.944445,143100,0.34649
"57",1980-06-05,0,6,5.925926,5.925926,95700,0.34541
"58",1980-06-06,0,6.222222,5.907407,6.222222,205500,0.362681
"59",1980-06-09,0,6.055555,5.888889,5.925926,150300,0.34541
"60",1980-06-10,0,6.037037,5.87037,6.018518,110700,0.350807
"61",1980-06-11,0,6.259259,5.962963,6.12963,140400,0.357284
"62",1980-06-12,0,6.111111,5.962963,6.111111,178200,0.356205
"63",1980-06-13,0,6.37037,6.111111,6.37037,196200,0.371316
"64",1980-06-16,0,6.296296,6.111111,6.148148,298200,0.358363
"65",1980-06-17,0,6.148148,6.074074,6.148148,344100,0.358363
"66",1980-06-18,0,6.148148,5.981482,6.018518,129600,0.350807
"67",1980-06-19,0,5.981482,5.759259,5.814815,82800,0.338934
"68",1980-06-20,0,5.851852,5.740741,5.777778,207000,0.336775
"69",1980-06-23,0,5.87037,5.685185,5.759259,557400,0.335696
"70",1980-06-24,0,5.925926,5.777778,5.925926,174000,0.34541
"71",1980-06-25,0,5.962963,5.87037,5.944445,294300,0.34649
"72",1980-06-26,0,5.962963,5.907407,5.925926,791400,0.34541
"73",1980-06-27,0,5.962963,5.907407,5.944445,104400,0.34649
"74",1980-06-30,0,5.962963,5.814815,5.925926,84900,0.34541
"75",1980-07-01,0,5.944445,5.87037,5.925926,89100,0.34541
"76",1980-07-02,0,5.944445,5.888889,5.944445,89100,0.34649
"77",1980-07-03,0,5.962963,5.925926,5.962963,549900,0.347569
"78",1980-07-07,0,6,5.925926,5.962963,144300,0.347569
"79",1980-07-08,0,6,5.907407,5.962963,148500,0.347569
"80",1980-07-09,0,6.055555,5.944445,5.944445,89100,0.34649
"81",1980-07-10,0,6.055555,5.925926,6,39000,0.349728
"82",1980-07-11,0,6.055555,6,6.018518,33600,0.350807
"83",1980-07-14,0,6.222222,6,6.222222,90300,0.362681
"84",1980-07-15,0,6.240741,6.12963,6.148148,289200,0.358363
"85",1980-07-16,0,6.240741,6.074074,6.240741,103800,0.36376
"86",1980-07-17,0,6.277778,6.222222,6.277778,58500,0.365919
"87",1980-07-18,0,6.333333,6.259259,6.333333,127200,0.369157
"88",1980-07-21,0,6.648148,6.314815,6.648148,816600,0.387507
"89",1980-07-22,0,6.648148,6.407407,6.407407,253800,0.373475
"90",1980-07-23,0,6.37037,6.222222,6.240741,111900,0.36376
"91",1980-07-24,0,6.296296,6.259259,6.277778,43500,0.365919
"92",1980-07-25,0,6.277778,6.166667,6.203704,182700,0.361601
"93",1980-07-28,0,6.222222,6.148148,6.148148,28800,0.358363
"94",1980-07-29,0,6.203704,6.148148,6.185185,81300,0.360522
"95",1980-07-30,0,6.203704,6.148148,6.203704,52500,0.361601
"96",1980-07-31,0,6.203704,6.148148,6.203704,125400,0.361601
"97",1980-08-01,0,6.222222,6.148148,6.148148,72900,0.358363
"98",1980-08-04,0,6.12963,6.018518,6.092593,100200,0.355125
"99",1980-08-05,0,6.111111,6.018518,6.018518,17400,0.350807
"100",1980-08-06,0,6.074074,6.018518,6.055555,41700,0.352966
