"","date","open","high","low","close","volume","adjusted"
"1",1975-06-23,0.923177,0.946615,0.919271,0.941406,2380800,0.020087
"2",1975-06-24,0.942708,0.953125,0.942708,0.949219,2246400,0.020254
"3",1975-06-25,0.949219,0.955729,0.942708,0.955729,1315200,0.020393
"4",1975-06-26,0.955729,0.955729,0.9375,0.9375,2044800,0.020004
"5",1975-06-27,0.9375,0.945313,0.9375,0.9375,2515200,0.020004
"6",1975-06-30,0.9375,0.945313,0.9375,0.94401,1142400,0.020143
"7",1975-07-01,0.94401,0.94401,0.919271,0.934896,2601600,0.019948
"8",1975-07-02,0.934896,0.942708,0.929688,0.940104,1584000,0.02006
"9",1975-07-03,0.940104,0.951823,0.934896,0.951823,950400,0.02031
"10",1975-07-07,0.951823,0.951823,0.9375,0.9375,1180800,0.020004
"11",1975-07-08,0.934896,0.934896,0.921875,0.932292,2294400,0.019893
"12",1975-07-09,0.9375,0.951823,0.9375,0.947917,1171200,0.020226
"13",1975-07-10,0.950521,0.958333,0.950521,0.951823,2448000,0.02031
"14",1975-07-11,0.951823,0.955729,0.94401,0.947917,931200,0.020226
"15",1975-07-14,0.947917,0.947917,0.941406,0.945313,1363200,0.020171
"16",1975-07-15,0.945313,0.950521,0.929688,0.929688,3782400,0.019837
"17",1975-07-16,0.929688,0.940104,0.895833,0.897135,3072000,0.019143
"18",1975-07-17,0.897135,0.914063,0.885417,0.890625,2352000,0.019004
"19",1975-07-18,0.890625,0.890625,0.869792,0.872396,3177600,0.018615
"20",1975-07-21,0.872396,0.882813,0.859375,0.867188,2236800,0.018504
"21",1975-07-22,0.867188,0.885417,0.865885,0.884115,2659200,0.018865
"22",1975-07-23,0.884115,0.888021,0.877604,0.882813,3724800,0.018837
"23",1975-07-24,0.882813,0.884115,0.861979,0.869792,2112000,0.018559
"24",1975-07-25,0.869792,0.872396,0.851563,0.851563,3350400,0.01817
"25",1975-07-28,0.851563,0.852865,0.838542,0.842448,2966400,0.017976
"26",1975-07-29,0.842448,0.851563,0.830729,0.838542,2764800,0.017892
"27",1975-07-30,0.838542,0.848958,0.833333,0.842448,3168000,0.017976
"28",1975-07-31,0.842448,0.848958,0.830729,0.830729,1497600,0.017726
"29",1975-08-01,0.830729,0.835938,0.807292,0.813802,1910400,0.017365
"30",1975-08-04,0.809896,0.809896,0.791667,0.791667,1334400,0.016892
"31",1975-08-05,0.791667,0.802083,0.78125,0.782552,3657600,0.016698
"32",1975-08-06,0.785156,0.817708,0.785156,0.817708,3340800,0.017448
"33",1975-08-07,0.817708,0.825521,0.8125,0.815104,2966400,0.017392
