"","date","open","high","low","close","volume","adjusted"
"1",1975-06-19,1.324074,1.33642,1.317901,1.333333,1646400,0.020402
"2",1975-06-20,1.333333,1.354938,1.333333,1.333333,1836800,0.020402
"3",1975-06-23,1.333333,1.333333,1.314815,1.333333,1716800,0.020402
"4",1975-06-24,1.339506,1.373457,1.339506,1.358025,3668000,0.020779
"5",1975-06-25,1.364197,1.401235,1.364197,1.398148,2448000,0.021393
"6",1975-06-26,1.398148,1.432099,1.398148,1.398148,2949600,0.021393
"7",1975-06-27,1.398148,1.432099,1.391975,1.419753,900800,0.021724
"8",1975-06-30,1.419753,1.429012,1.401235,1.407407,3225600,0.021535
"9",1975-07-01,1.407407,1.407407,1.367284,1.373457,1994400,0.021015
"10",1975-07-02,1.37037,1.37037,1.342593,1.37037,2088800,0.020968
"11",1975-07-03,1.37037,1.385803,1.367284,1.373457,2156000,0.021015
"12",1975-07-07,1.364197,1.364197,1.32716,1.333333,1911200,0.020402
"13",1975-07-08,1.333333,1.342593,1.308642,1.342593,1700000,0.020543
"14",1975-07-09,1.345679,1.382716,1.345679,1.382716,3586400,0.021157
"15",1975-07-10,1.382716,1.404321,1.373457,1.373457,3100800,0.021015
"16",1975-07-11,1.373457,1.401235,1.364197,1.401235,1792800,0.021441
"17",1975-07-14,1.401235,1.404321,1.376543,1.385803,1491200,0.021204
"18",1975-07-15,1.395062,1.416667,1.395062,1.395062,1976000,0.021346
"19",1975-07-16,1.395062,1.410494,1.373457,1.376543,1700000,0.021063
"20",1975-07-17,1.376543,1.395062,1.33642,1.358025,1663200,0.020779
"21",1975-07-18,1.358025,1.367284,1.354938,1.361111,778400,0.020827
"22",1975-07-21,1.361111,1.382716,1.354938,1.364197,843200,0.020874
"23",1975-07-22,1.361111,1.361111,1.345679,1.345679,771200,0.02059
"24",1975-07-23,1.345679,1.354938,1.287037,1.287037,1610400,0.019693
"25",1975-07-24,1.280864,1.280864,1.25,1.262346,3898400,0.019315
"26",1975-07-25,1.262346,1.283951,1.222222,1.240741,3315200,0.018985
"27",1975-07-28,1.240741,1.259259,1.234568,1.243827,1684800,0.019032
"28",1975-07-29,1.243827,1.271605,1.197531,1.222222,6610400,0.018701
"29",1975-07-30,1.222222,1.253086,1.212963,1.225309,3629600,0.018749
"30",1975-07-31,1.225309,1.243827,1.197531,1.197531,3557600,0.018324
"31",1975-08-01,1.182099,1.182099,1.151235,1.17284,3693600,0.017946
"32",1975-08-04,1.166667,1.166667,1.148148,1.154321,3312000,0.017662
"33",1975-08-05,1.154321,1.185185,1.151235,1.154321,2501600,0.017662
"34",1975-08-06,1.157407,1.194444,1.157407,1.179012,3158400,0.01804
"35",1975-08-07,1.179012,1.194444,1.154321,1.169753,2290400,0.017899
"36",1975-08-08,1.169753,1.179012,1.141975,1.141975,2008800,0.017474
"37",1975-08-11,1.141975,1.185185,1.141975,1.185185,1408800,0.018135
"38",1975-08-12,1.185185,1.203704,1.154321,1.154321,3072000,0.017662
"39",1975-08-13,1.145062,1.145062,1.092593,1.101852,3489600,0.01686
"40",1975-08-14,1.101852,1.12037,1.101852,1.117284,1756800,0.017096
"41",1975-08-15,1.117284,1.135803,1.117284,1.126543,1783200,0.017237
"42",1975-08-18,1.126543,1.141975,1.117284,1.117284,1133600,0.017096
"43",1975-08-19,1.111111,1.111111,1.08642,1.089506,2132000,0.016671
"44",1975-08-20,1.080247,1.080247,1.049383,1.064815,4730400,0.016293
"45",1975-08-21,1.064815,1.092593,1.061728,1.07716,1740000,0.016482
"46",1975-08-22,1.07716,1.108025,1.07716,1.104938,2528000,0.016907
"47",1975-08-25,1.104938,1.126543,1.104938,1.126543,1692000,0.017237
"48",1975-08-26,1.117284,1.117284,1.098765,1.098765,1700000,0.016812
"49",1975-08-27,1.098765,1.12963,1.098765,1.12963,1565600,0.017285
"50",1975-08-28,1.12963,1.145062,1.12963,1.145062,4195200,0.017521
"51",1975-08-29,1.145062,1.179012,1.135803,1.16358,2991200,0.017804
"52",1975-09-02,1.16358,1.17284,1.135803,1.135803,2268000,0.017379
"53",1975-09-03,1.135803,1.138889,1.108025,1.135803,1872800,0.017379
"54",1975-09-04,1.135803,1.154321,1.126543,1.151235,2124000,0.017615
"55",1975-09-05,1.151235,1.151235,1.135803,1.138889,1508000,0.017426
"56",1975-09-08,1.138889,1.151235,1.12963,1.138889,1620800,0.017426
"57",1975-09-09,1.138889,1.151235,1.101852,1.101852,1684800,0.01686
"58",1975-09-10,1.101852,1.108025,1.07716,1.108025,1749600,0.016954
