"","date","open","high","low","close","volume","adjusted"
"1",1975-06-30,2.357639,2.371528,2.333333,2.361111,522000,0.429705
"2",1975-07-01,2.361111,2.368056,2.326389,2.350694,802800,0.427809
"3",1975-07-02,2.347222,2.347222,2.315972,2.333333,774000,0.42465
"4",1975-07-03,2.333333,2.354167,2.322917,2.34375,576000,0.426545
"5",1975-07-07,2.34375,2.354167,2.305556,2.305556,810000,0.419594
"6",1975-07-08,2.305556,2.315972,2.295139,2.302083,1249200,0.418962
"7",1975-07-09,2.302083,2.3125,2.291667,2.291667,1058400,0.417067
"8",1975-07-10,2.277778,2.277778,2.229167,2.239583,1738800,0.407588
"9",1975-07-11,2.239583,2.256944,2.222222,2.243056,2710800,0.40822
"10",1975-07-14,2.243056,2.270833,2.239583,2.260417,824400,0.411379
"11",1975-07-15,2.260417,2.260417,2.215278,2.222222,1976400,0.404428
"12",1975-07-16,2.222222,2.239583,2.197917,2.208333,1360800,0.401901
"13",1975-07-17,2.201389,2.201389,2.173611,2.184028,1724400,0.397477
"14",1975-07-18,2.177083,2.177083,2.152778,2.163194,1407600,0.393686
"15",1975-07-21,2.163194,2.190972,2.159722,2.163194,943200,0.393686
"16",1975-07-22,2.163194,2.194444,2.142361,2.180556,1134000,0.396845
"17",1975-07-23,2.180556,2.201389,2.159722,2.159722,1954800,0.393054
"18",1975-07-24,2.159722,2.1875,2.15625,2.180556,1810800,0.396845
"19",1975-07-25,2.180556,2.1875,2.145833,2.159722,1184400,0.393054
"20",1975-07-28,2.152778,2.152778,2.118056,2.125,1036800,0.386735
"21",1975-07-29,2.125,2.138889,2.055556,2.079861,1843200,0.37852
"22",1975-07-30,2.083333,2.111111,2.083333,2.097222,1652400,0.381679
"23",1975-07-31,2.097222,2.118056,2.086806,2.086806,2178000,0.379784
"24",1975-08-01,2.086806,2.107639,2.069444,2.076389,1962000,0.377888
"25",1975-08-04,2.076389,2.083333,2.041667,2.048611,936000,0.372832
"26",1975-08-05,2.038194,2.038194,1.958333,1.965278,3333600,0.357666
"27",1975-08-06,1.961806,1.961806,1.90625,1.934028,6886800,0.351979
"28",1975-08-07,1.934028,1.951389,1.920139,1.951389,1933200,0.355138
"29",1975-08-08,1.951389,1.958333,1.934028,1.944444,1087200,0.353875
"30",1975-08-11,1.944444,1.993056,1.9375,1.989583,1861200,0.36209
"31",1975-08-12,1.989583,2.027778,1.989583,1.996528,2516400,0.363354
"32",1975-08-13,1.986111,1.986111,1.944444,1.958333,1040400,0.356402
"33",1975-08-14,1.958333,1.965278,1.947917,1.961806,745200,0.357034
"34",1975-08-15,1.961806,1.989583,1.958333,1.989583,788400,0.36209
"35",1975-08-18,1.989583,1.993056,1.96875,1.979167,792000,0.360194
"36",1975-08-19,1.972222,1.972222,1.944444,1.944444,622800,0.353875
"37",1975-08-20,1.944444,1.972222,1.930556,1.930556,1310400,0.351347
"38",1975-08-21,1.930556,1.9375,1.888889,1.909722,2779200,0.347555
"39",1975-08-22,1.909722,1.923611,1.888889,1.913194,1083600,0.348187
"40",1975-08-25,1.930556,1.965278,1.930556,1.958333,964800,0.356402
"41",1975-08-26,1.958333,1.972222,1.916667,1.916667,1126800,0.348819
"42",1975-08-27,1.916667,1.954861,1.909722,1.9375,986400,0.352611
"43",1975-08-28,1.944444,1.972222,1.944444,1.965278,867600,0.357666
"44",1975-08-29,1.965278,1.96875,1.9375,1.951389,1393200,0.356904
"45",1975-09-02,1.951389,1.958333,1.909722,1.9375,1008000,0.354364
