"","date","open","high","low","close","volume","adjusted"
"1",1975-06-20,2.933594,2.976563,2.933594,2.9375,1116800,0.037867
"2",1975-06-23,2.9375,3.03125,2.921875,3.03125,630400,0.039076
"3",1975-06-24,3.03125,3.058594,3,3.03125,739200,0.039076
"4",1975-06-25,3.03125,3.070313,3.03125,3.0625,1107200,0.039479
"5",1975-06-26,3.0625,3.085938,3.039063,3.0625,412800,0.039479
"6",1975-06-27,3.0625,3.101563,3.042969,3.042969,764800,0.039227
"7",1975-06-30,3.042969,3.09375,3.015625,3.066406,588800,0.039529
"8",1975-07-01,3.066406,3.089844,3.058594,3.078125,524800,0.03968
"9",1975-07-02,3.046875,3.046875,3.011719,3.023438,1104000,0.038975
"10",1975-07-03,3.023438,3.03125,2.992188,3.015625,761600,0.038874
"11",1975-07-07,3.015625,3.046875,3.015625,3.019531,716800,0.038925
"12",1975-07-08,3.019531,3.023438,3,3.015625,582400,0.038874
"13",1975-07-09,3.015625,3.054688,3.015625,3.054688,518400,0.039378
"14",1975-07-10,3.058594,3.101563,3.058594,3.078125,563200,0.03968
"15",1975-07-11,3.070313,3.070313,3.007813,3.007813,1408000,0.038774
"16",1975-07-14,3.007813,3.015625,2.976563,2.996094,470400,0.038824
"17",1975-07-15,2.996094,3.019531,2.992188,3,444800,0.038875
"18",1975-07-16,3,3.015625,2.960938,2.96875,912000,0.03847
"19",1975-07-17,2.96875,2.96875,2.9375,2.953125,1251200,0.038267
"20",1975-07-18,2.9375,2.9375,2.890625,2.898438,892800,0.037559
"21",1975-07-21,2.898438,2.90625,2.878906,2.894531,748800,0.037508
"22",1975-07-22,2.894531,2.914063,2.882813,2.914063,704000,0.037761
"23",1975-07-23,2.914063,2.914063,2.875,2.878906,496000,0.037306
"24",1975-07-24,2.878906,2.898438,2.867188,2.898438,633600,0.037559
"25",1975-07-25,2.894531,2.894531,2.875,2.878906,572800,0.037306
"26",1975-07-28,2.890625,2.914063,2.890625,2.898438,476800,0.037559
"27",1975-07-29,2.898438,2.898438,2.875,2.878906,553600,0.037306
"28",1975-07-30,2.878906,2.898438,2.847656,2.859375,1366400,0.037053
"29",1975-07-31,2.859375,2.867188,2.789063,2.796875,851200,0.036243
"30",1975-08-01,2.773438,2.773438,2.734375,2.738281,864000,0.035483
"31",1975-08-04,2.738281,2.746094,2.714844,2.714844,1769600,0.03518
"32",1975-08-05,2.710938,2.710938,2.667969,2.679688,2019200,0.034724
"33",1975-08-06,2.679688,2.710938,2.679688,2.710938,1155200,0.035129
"34",1975-08-07,2.71875,2.75,2.71875,2.722656,1046400,0.035281
"35",1975-08-08,2.722656,2.75,2.71875,2.730469,835200,0.035382
"36",1975-08-11,2.730469,2.789063,2.726563,2.789063,598400,0.036141
"37",1975-08-12,2.792969,2.824219,2.792969,2.800781,1123200,0.036293
"38",1975-08-13,2.792969,2.792969,2.746094,2.757813,1078400,0.035737
"39",1975-08-14,2.753906,2.753906,2.734375,2.742188,1212800,0.035534
"40",1975-08-15,2.742188,2.796875,2.738281,2.773438,528000,0.035939
"41",1975-08-18,2.773438,2.796875,2.722656,2.722656,979200,0.035281
"42",1975-08-19,2.722656,2.730469,2.648438,2.652344,1011200,0.03437
"43",1975-08-20,2.648438,2.648438,2.609375,2.617188,1833600,0.033914
"44",1975-08-21,2.617188,2.648438,2.613281,2.617188,835200,0.033914
"45",1975-08-22,2.632813,2.675781,2.632813,2.664063,464000,0.034522
"46",1975-08-25,2.664063,2.6875,2.660156,2.667969,547200,0.034572
"47",1975-08-26,2.667969,2.667969,2.609375,2.609375,1049600,0.033813
"48",1975-08-27,2.609375,2.632813,2.601563,2.632813,566400,0.034117
"49",1975-08-28,2.648438,2.679688,2.648438,2.667969,838400,0.034572
"50",1975-08-29,2.667969,2.679688,2.632813,2.640625,832000,0.034218
"51",1975-09-02,2.640625,2.65625,2.59375,2.605469,592000,0.033762
"52",1975-09-03,2.605469,2.6875,2.59375,2.679688,908800,0.034724
"53",1975-09-04,2.679688,2.683594,2.644531,2.644531,662400,0.034269
"54",1975-09-05,2.644531,2.644531,2.59375,2.625,908800,0.034015
"55",1975-09-08,2.625,2.625,2.613281,2.621094,691200,0.033965
"56",1975-09-09,2.621094,2.65625,2.578125,2.582031,2083200,0.033459
"57",1975-09-10,2.582031,2.582031,2.566406,2.578125,1811200,0.033408
"58",1975-09-11,2.578125,2.59375,2.570313,2.574219,572800,0.033357
"59",1975-09-12,2.574219,2.59375,2.554688,2.5625,998400,0.033206
"60",1975-09-15,2.5625,2.578125,2.554688,2.558594,544000,0.033155
"61",1975-09-16,2.558594,2.578125,2.539063,2.539063,998400,0.032902
"62",1975-09-17,2.539063,2.589844,2.539063,2.570313,582400,0.033307
"63",1975-09-18,2.578125,2.621094,2.578125,2.621094,960000,0.033965
"64",1975-09-19,2.644531,2.664063,2.644531,2.65625,985600,0.03442
"65",1975-09-22,2.65625,2.664063,2.628906,2.636719,364800,0.034167
"66",1975-09-23,2.632813,2.632813,2.574219,2.59375,1110400,0.033611
"67",1975-09-24,2.609375,2.644531,2.609375,2.625,486400,0.034015
"68",1975-09-25,2.628906,2.65625,2.628906,2.640625,544000,0.034218
"69",1975-09-26,2.640625,2.65625,2.613281,2.613281,1097600,0.033864
"70",1975-09-29,2.609375,2.609375,2.59375,2.59375,307200,0.033611
"71",1975-09-30,2.59375,2.597656,2.566406,2.59375,1129600,0.033611
"72",1975-10-01,2.59375,2.617188,2.570313,2.585938,556800,0.033509
"73",1975-10-02,2.585938,2.601563,2.5625,2.601563,425600,0.033712
"74",1975-10-03,2.617188,2.679688,2.617188,2.660156,944000,0.034471
"75",1975-10-06,2.664063,2.726563,2.664063,2.664063,761600,0.034522
"76",1975-10-07,2.664063,2.695313,2.65625,2.6875,278400,0.034825
"77",1975-10-08,2.6875,2.75,2.6875,2.75,860800,0.035635
"78",1975-10-09,2.75,2.765625,2.734375,2.757813,540800,0.035737
"79",1975-10-10,2.757813,2.78125,2.742188,2.75,483200,0.035635
"80",1975-10-13,2.75,2.773438,2.726563,2.773438,422400,0.035939
"81",1975-10-14,2.773438,2.804688,2.769531,2.777344,1225600,0.03599
"82",1975-10-15,2.777344,2.785156,2.753906,2.769531,393600,0.035888
"83",1975-10-16,2.769531,2.796875,2.765625,2.765625,371200,0.035838
"84",1975-10-17,2.765625,2.765625,2.75,2.753906,393600,0.035686
"85",1975-10-20,2.753906,2.78125,2.738281,2.78125,924800,0.036246
"86",1975-10-21,2.785156,2.804688,2.785156,2.785156,771200,0.036297
"87",1975-10-22,2.785156,2.792969,2.761719,2.789063,515200,0.036348
"88",1975-10-23,2.789063,2.796875,2.761719,2.796875,880000,0.03645
"89",1975-10-24,2.796875,2.800781,2.757813,2.773438,969600,0.036144
"90",1975-10-27,2.773438,2.78125,2.75,2.773438,563200,0.036144
"91",1975-10-28,2.773438,2.804688,2.765625,2.796875,889600,0.03645
"92",1975-10-29,2.796875,2.796875,2.761719,2.765625,425600,0.036042
"93",1975-10-30,2.777344,2.796875,2.777344,2.777344,576000,0.036195
"94",1975-10-31,2.777344,2.785156,2.773438,2.773438,387200,0.036144
"95",1975-11-03,2.773438,2.789063,2.773438,2.78125,419200,0.036246
"96",1975-11-04,2.78125,2.8125,2.773438,2.8125,256000,0.036653
"97",1975-11-05,2.828125,2.847656,2.828125,2.832031,924800,0.036908
"98",1975-11-06,2.832031,2.875,2.804688,2.863281,649600,0.037315
"99",1975-11-07,2.851563,2.851563,2.820313,2.84375,864000,0.03706
"100",1975-11-10,2.84375,2.847656,2.816406,2.832031,284800,0.036908
"101",1975-11-11,2.832031,2.851563,2.828125,2.84375,521600,0.03706
"102",1975-11-12,2.84375,2.9375,2.84375,2.929688,1312000,0.03818
"103",1975-11-13,2.941406,2.988281,2.941406,2.945313,1184000,0.038384
"104",1975-11-14,2.945313,2.953125,2.929688,2.945313,828800,0.038384
"105",1975-11-17,2.945313,2.953125,2.925781,2.945313,608000,0.038384
"106",1975-11-18,2.945313,2.953125,2.929688,2.945313,598400,0.038384
"107",1975-11-19,2.945313,2.945313,2.914063,2.9375,464000,0.038282
"108",1975-11-20,2.921875,2.921875,2.910156,2.910156,502400,0.037926
"109",1975-11-21,2.910156,2.914063,2.882813,2.886719,1478400,0.03762
"110",1975-11-24,2.886719,2.90625,2.882813,2.894531,748800,0.037722
"111",1975-11-25,2.894531,2.921875,2.886719,2.914063,553600,0.037977
"112",1975-11-26,2.914063,2.925781,2.898438,2.914063,572800,0.037977
"113",1975-11-28,2.90625,2.90625,2.867188,2.90625,688000,0.037875
"114",1975-12-01,2.90625,2.921875,2.882813,2.882813,419200,0.03757
"115",1975-12-02,2.882813,2.886719,2.863281,2.863281,851200,0.037315
"116",1975-12-03,2.863281,2.867188,2.84375,2.847656,608000,0.037111
"117",1975-12-04,2.847656,2.875,2.84375,2.859375,659200,0.037264
"118",1975-12-05,2.859375,2.875,2.828125,2.835938,665600,0.036959
"119",1975-12-08,2.835938,2.871094,2.808594,2.84375,560000,0.03706
