"","date","open","high","low","close","volume","adjusted"
"1",1975-11-17,0,8.71875,8.71875,8.71875,53200,0.977664
"2",1975-11-18,0,8.96875,8.96875,8.96875,106800,1.005698
"3",1975-11-19,0,8.5625,8.5625,8.5625,170400,0.960143
"4",1975-11-20,0,8.4375,8.4375,8.4375,61200,0.946127
"5",1975-11-21,0,8.4375,8.4375,8.4375,64000,0.946127
"6",1975-11-24,0,8.40625,8.40625,8.40625,88400,0.942623
"7",1975-11-25,0,8.375,8.375,8.375,75200,0.939118
"8",1975-11-26,0,8.4375,8.4375,8.4375,89200,0.946127
"9",1975-11-28,0,8.5,8.5,8.5,95600,0.953135
"10",1975-12-01,0,8.25,8.25,8.25,102400,0.925101
"11",1975-12-02,0,7.875,7.875,7.875,78400,0.883051
"12",1975-12-03,0,7.5,7.5,7.5,86400,0.841002
"13",1975-12-04,0,7.5,7.5,7.5,48800,0.841002
"14",1975-12-05,0,7.4375,7.4375,7.4375,62800,0.833993
"15",1975-12-08,0,7.4375,7.4375,7.4375,87600,0.833993
"16",1975-12-09,0,7.4375,7.4375,7.4375,158800,0.833993
"17",1975-12-10,0,7.46875,7.46875,7.46875,99600,0.837497
"18",1975-12-11,0,7.5,7.5,7.5,62400,0.841002
"19",1975-12-12,0,7.875,7.875,7.875,116400,0.883051
"20",1975-12-15,0,7.84375,7.84375,7.84375,170800,0.879548
"21",1975-12-16,0,7.96875,7.96875,7.96875,110400,0.893564
"22",1975-12-17,0,8.03125,8.03125,8.03125,92800,0.900573
"23",1975-12-18,0,8.0625,8.0625,8.0625,81200,0.904077
"24",1975-12-19,0,8,8,8,130800,0.897068
"25",1975-12-22,0,8,8,8,67200,0.897068
"26",1975-12-23,0,8.03125,8.03125,8.03125,59600,0.900573
"27",1975-12-24,0,7.8125,7.8125,7.8125,135200,0.876043
"28",1975-12-26,0,7.84375,7.84375,7.84375,46800,0.879548
"29",1975-12-29,0,7.75,7.75,7.75,52800,0.869035
"30",1975-12-30,0,7.71875,7.71875,7.71875,54000,0.865531
"31",1975-12-31,0,7.71875,7.71875,7.71875,34800,0.865531
"32",1976-01-02,0,7.875,7.875,7.875,71600,0.883051
"33",1976-01-05,0,7.96875,7.96875,7.96875,104400,0.893564
"34",1976-01-06,0,8.3125,8.3125,8.3125,132800,0.93211
"35",1976-01-07,0,8.125,8.125,8.125,120000,0.911085
"36",1976-01-08,0,8.125,8.125,8.125,85200,0.911085
"37",1976-01-09,0,8.125,8.125,8.125,59600,0.911085
"38",1976-01-12,0,8.125,8.125,8.125,48800,0.911085
"39",1976-01-13,0,8.03125,8.03125,8.03125,112400,0.900573
"40",1976-01-14,0,8.125,8.125,8.125,90000,0.911085
"41",1976-01-15,0,8,8,8,174000,0.897068
"42",1976-01-16,0,8,8,8,14400,0.897068
"43",1976-01-19,0,8.03125,8.03125,8.03125,56000,0.900573
"44",1976-01-20,0,8.0625,8.0625,8.0625,59200,0.904077
"45",1976-01-21,0,8,8,8,62000,0.897068
"46",1976-01-22,0,7.9375,7.9375,7.9375,52800,0.89006
"47",1976-01-23,0,7.875,7.875,7.875,42800,0.883051
"48",1976-01-26,0,7.53125,7.53125,7.53125,84400,0.844506
"49",1976-01-27,0,7.5,7.5,7.5,272000,0.841002
"50",1976-01-28,0,7.6875,7.6875,7.6875,212000,0.862027
"51",1976-01-29,0,8.3125,8.1875,8.1875,158400,0.918093
"52",1976-01-30,0,8.125,8,8,304400,0.897068
"53",1976-02-02,0,8.25,8.125,8.125,73600,0.911085
"54",1976-02-03,0,8.28125,8.15625,8.15625,66800,0.914589
"55",1976-02-04,0,8.375,8.25,8.25,184000,0.925101
"56",1976-02-05,0,8.3125,8.1875,8.1875,64800,0.918093
"57",1976-02-06,0,8.15625,8.03125,8.03125,72000,0.900573
"58",1976-02-09,0,8.25,8.125,8.125,42800,0.911085
"59",1976-02-10,0,8.15625,8.03125,8.03125,91200,0.900573
"60",1976-02-11,0,8.1875,8.0625,8.0625,28800,0.904077
"61",1976-02-12,0,8.25,8.125,8.125,131200,0.911085
"62",1976-02-13,0,8.25,8.125,8.125,20400,0.911085
"63",1976-02-17,0,8.1875,8.0625,8.0625,36000,0.904077
"64",1976-02-18,0,8.15625,8.03125,8.03125,79600,0.900573
"65",1976-02-19,0,7.96875,7.84375,7.84375,159600,0.879548
"66",1976-02-20,0,8.0625,7.9375,7.9375,388000,0.89006
"67",1976-02-23,0,8.0625,7.9375,7.9375,223600,0.89006
"68",1976-02-24,0,8.1875,8.0625,8.0625,114800,0.904077
"69",1976-02-25,0,8.25,8.125,8.125,96400,0.911085
"70",1976-02-26,0,8.125,8,8,248400,0.897068
"71",1976-02-27,0,7.96875,7.84375,7.84375,124000,0.879548
"72",1976-03-01,0,7.9375,7.8125,7.8125,76000,0.876043
"73",1976-03-02,0,7.96875,7.84375,7.84375,70800,0.879548
"74",1976-03-03,0,7.84375,7.71875,7.71875,44400,0.865531
"75",1976-03-04,0,7.84375,7.71875,7.71875,57200,0.865531
"76",1976-03-05,0,7.8125,7.6875,7.6875,45200,0.862027
"77",1976-03-08,0,7.90625,7.78125,7.78125,27600,0.872539
"78",1976-03-09,0,8.0625,7.9375,7.9375,37200,0.89006
"79",1976-03-10,0,8.15625,8.03125,8.03125,85200,0.900573
"80",1976-03-11,0,8.4375,8.3125,8.3125,150800,0.93211
"81",1976-03-12,0,8.4375,8.3125,8.3125,92400,0.93211
"82",1976-03-15,0,8.25,8.125,8.125,89200,0.911085
"83",1976-03-16,0,8.3125,8.1875,8.1875,50800,0.918093
"84",1976-03-17,0,8.3125,8.1875,8.1875,86400,0.918093
"85",1976-03-18,0,8.3125,8.1875,8.1875,93600,0.918093
"86",1976-03-19,0,8.3125,8.1875,8.1875,26800,0.918093
"87",1976-03-22,0,8.3125,8.1875,8.1875,28800,0.918093
"88",1976-03-23,0,8.59375,8.46875,8.46875,210000,0.949631
"89",1976-03-24,0,8.65625,8.53125,8.53125,137600,0.956639
"90",1976-03-25,0,8.78125,8.65625,8.65625,124000,0.970655
"91",1976-03-26,0,8.625,8.5,8.5,70000,0.953135
"92",1976-03-29,0,8.5,8.375,8.375,33600,0.939118
"93",1976-03-30,0,8.4375,8.3125,8.3125,41200,0.93211
"94",1976-03-31,0,8.4375,8.3125,8.3125,18800,0.93211
"95",1976-04-01,0,8.4375,8.3125,8.3125,30800,0.93211
"96",1976-04-02,0,8.46875,8.34375,8.34375,10000,0.935615
"97",1976-04-05,0,8.71875,8.59375,8.59375,79200,0.963647
"98",1976-04-06,0,8.6875,8.5625,8.5625,110400,0.960143
"99",1976-04-07,0,8.59375,8.46875,8.46875,32800,0.949631
"100",1976-04-08,0,8.5,8.375,8.375,55200,0.939118
"101",1976-04-09,0,8.25,8.125,8.125,104400,0.911085
"102",1976-04-12,0,8.1875,8.0625,8.0625,71600,0.904077
"103",1976-04-13,0,8.125,8,8,201600,0.897068
"104",1976-04-14,0,8.1875,8.0625,8.0625,51600,0.904077
"105",1976-04-15,0,8,7.875,7.875,129600,0.883051
"106",1976-04-19,0,8.0625,7.9375,7.9375,36400,0.89006
"107",1976-04-20,0,8.03125,7.90625,7.90625,53600,0.886555
"108",1976-04-21,0,7.875,7.75,7.75,40400,0.869035
"109",1976-04-22,0,7.90625,7.78125,7.78125,12800,0.872539
"110",1976-04-23,0,7.8125,7.6875,7.6875,105200,0.862027
"111",1976-04-26,0,7.78125,7.65625,7.65625,72800,0.858522
"112",1976-04-27,0,7.8125,7.6875,7.6875,89600,0.862027
"113",1976-04-28,0,7.875,7.75,7.75,45200,0.869035
"114",1976-04-29,0,7.65625,7.53125,7.53125,180000,0.844506
"115",1976-04-30,0,7.34375,7.21875,7.21875,114000,0.809464
"116",1976-05-03,0,7.03125,6.90625,6.90625,70800,0.774422
"117",1976-05-04,0,6.96875,6.84375,6.84375,60000,0.767414
"118",1976-05-05,0,6.96875,6.84375,6.84375,46000,0.767414
"119",1976-05-06,0,7.125,7,7,29200,0.784935
"120",1976-05-07,0,7.3125,7.1875,7.1875,150400,0.80596
"121",1976-05-10,0,7.25,7.125,7.125,108800,0.798952
"122",1976-05-11,0,7.1875,7.0625,7.0625,90000,0.791943
"123",1976-05-12,0,7.46875,7.34375,7.34375,283600,0.82348
"124",1976-05-13,0,7.5,7.375,7.375,20400,0.826985
"125",1976-05-14,0,7.4375,7.3125,7.3125,36000,0.819977
"126",1976-05-17,0,7.15625,7.03125,7.03125,86000,0.788439
"127",1976-05-18,0,7.15625,7.03125,7.03125,58000,0.788439
"128",1976-05-19,0,7.1875,7.0625,7.0625,7200,0.791943
"129",1976-05-20,0,7.21875,7.09375,7.09375,67600,0.795447
"130",1976-05-21,0,7.125,7,7,91200,0.784935
"131",1976-05-24,0,6.875,6.75,6.75,56400,0.756901
"132",1976-05-25,0,6.90625,6.78125,6.78125,46400,0.760406
"133",1976-05-26,0,6.90625,6.78125,6.78125,43200,0.760406
"134",1976-05-27,0,6.875,6.75,6.75,6000,0.756901
"135",1976-05-28,0,6.875,6.75,6.75,7600,0.756901
"136",1976-06-01,0,6.875,6.75,6.75,21600,0.756901
"137",1976-06-02,0,6.875,6.75,6.75,36800,0.756901
"138",1976-06-03,0,6.875,6.75,6.75,4400,0.756901
"139",1976-06-04,0,6.8125,6.6875,6.6875,41200,0.749893
"140",1976-06-07,0,6.625,6.5,6.5,31600,0.728868
"141",1976-06-08,0,6.5625,6.4375,6.4375,46000,0.72186
"142",1976-06-09,0,6.46875,6.34375,6.34375,39200,0.711347
"143",1976-06-10,0,6.46875,6.34375,6.34375,19600,0.711347
"144",1976-06-11,0,6.40625,6.28125,6.28125,72400,0.704339
"145",1976-06-14,0,6.40625,6.28125,6.28125,11200,0.704339
"146",1976-06-15,0,6.5,6.375,6.375,95200,0.714851
"147",1976-06-16,0,6.625,6.5,6.5,139600,0.728868
"148",1976-06-17,0,6.9375,6.8125,6.8125,114800,0.76391
"149",1976-06-18,0,7,6.875,6.875,87600,0.770918
"150",1976-06-21,0,6.96875,6.84375,6.84375,79600,0.767414
"151",1976-06-22,0,6.8125,6.6875,6.6875,107600,0.749893
"152",1976-06-23,0,6.8125,6.6875,6.6875,65200,0.749893
"153",1976-06-24,0,6.875,6.75,6.75,188000,0.756901
"154",1976-06-25,0,6.875,6.75,6.75,90000,0.756901
"155",1976-06-28,0,6.875,6.75,6.75,48400,0.756901
"156",1976-06-29,0,6.875,6.75,6.75,62000,0.756901
"157",1976-06-30,0,6.9375,6.8125,6.8125,94000,0.76391
"158",1976-07-01,0,7.28125,7.15625,7.15625,228400,0.802455
"159",1976-07-02,0,7.4375,7.3125,7.3125,117200,0.819977
"160",1976-07-06,0,7.25,7.125,7.125,48400,0.798952
"161",1976-07-07,0,7.28125,7.15625,7.15625,43600,0.802455
"162",1976-07-08,0,7.3125,7.1875,7.1875,60400,0.80596
"163",1976-07-09,0,7.53125,7.40625,7.40625,260400,0.830489
"164",1976-07-12,0,7.8125,7.6875,7.6875,151600,0.862027
"165",1976-07-13,0,7.75,7.625,7.625,192800,0.855018
"166",1976-07-14,0,7.75,7.625,7.625,99600,0.855018
"167",1976-07-15,0,7.59375,7.46875,7.46875,63200,0.837497
"168",1976-07-16,0,7.5625,7.4375,7.4375,232400,0.833993
"169",1976-07-19,0,7.5,7.375,7.375,38800,0.826985
"170",1976-07-20,0,7.28125,7.15625,7.15625,56400,0.802455
"171",1976-07-21,0,7.25,7.125,7.125,82000,0.798952
"172",1976-07-22,0,7.25,7.125,7.125,10400,0.798952
"173",1976-07-23,0,7.28125,7.15625,7.15625,17200,0.802455
"174",1976-07-26,0,7.375,7.25,7.25,82800,0.812968
"175",1976-07-27,0,7.375,7.25,7.25,73200,0.812968
"176",1976-07-28,0,7.53125,7.40625,7.40625,38000,0.830489
"177",1976-07-29,0,8,7.875,7.875,191600,0.883051
"178",1976-07-30,0,8.3125,8.1875,8.1875,252000,0.918093
"179",1976-08-02,0,8.40625,8.28125,8.28125,89200,0.928606
"180",1976-08-03,0,8.53125,8.40625,8.40625,148000,0.942623
"181",1976-08-04,0,8.4375,8.3125,8.3125,120800,0.93211
"182",1976-08-05,0,8.34375,8.21875,8.21875,120800,0.921598
"183",1976-08-06,0,8.4375,8.3125,8.3125,67200,0.93211
"184",1976-08-09,0,8.3125,8.1875,8.1875,61600,0.918093
"185",1976-08-10,0,8.5,8.375,8.375,82400,0.939118
"186",1976-08-11,0,8.53125,8.40625,8.40625,97200,0.942623
"187",1976-08-12,0,8.65625,8.53125,8.53125,90400,0.956639
"188",1976-08-13,0,8.75,8.625,8.625,80800,0.967152
"189",1976-08-16,0,8.6875,8.5625,8.5625,23600,0.960143
"190",1976-08-17,0,8.875,8.75,8.75,143600,0.981168
"191",1976-08-18,0,8.75,8.625,8.625,101600,0.967152
"192",1976-08-19,0,8.53125,8.40625,8.40625,76400,0.942623
"193",1976-08-20,0,8.5,8.375,8.375,66800,0.939118
