"","date","open","high","low","close","volume","adjusted"
"1",1984-10-17,0,0.148438,0.144531,0.144531,9868800,0.10622
"2",1984-10-18,0,0.15625,0.148438,0.148438,5324800,0.10909
"3",1984-10-19,0,0.148438,0.144531,0.144531,3043200,0.10622
"4",1984-10-22,0,0.148438,0.144531,0.144531,2326400,0.10622
"5",1984-10-23,0,0.144531,0.140625,0.140625,787200,0.103349
"6",1984-10-24,0,0.148438,0.144531,0.144531,230400,0.10622
"7",1984-10-25,0,0.148438,0.140625,0.140625,1587200,0.103349
"8",1984-10-26,0,0.144531,0.140625,0.140625,758400,0.103349
"9",1984-10-29,0,0.144531,0.140625,0.140625,614400,0.103349
"10",1984-10-30,0,0.148438,0.140625,0.140625,192000,0.103349
"11",1984-10-31,0,0.148438,0.144531,0.144531,297600,0.10622
"12",1984-11-01,0,0.144531,0.140625,0.140625,352000,0.103349
"13",1984-11-02,0,0.144531,0.140625,0.140625,1638400,0.103349
"14",1984-11-05,0,0.140625,0.136719,0.136719,534400,0.100478
"15",1984-11-06,0,0.140625,0.136719,0.136719,544000,0.100478
"16",1984-11-07,0,0.140625,0.136719,0.136719,76800,0.100478
"17",1984-11-08,0,0.140625,0.136719,0.136719,44800,0.100478
"18",1984-11-09,0,0.140625,0.136719,0.136719,896000,0.100478
"19",1984-11-12,0,0.140625,0.136719,0.136719,300800,0.100478
"20",1984-11-13,0,0.140625,0.136719,0.136719,464000,0.100478
"21",1984-11-14,0,0.140625,0.132813,0.132813,1523200,0.097607
"22",1984-11-15,0,0.136719,0.132813,0.132813,156800,0.097607
"23",1984-11-16,0,0.136719,0.125,0.125,579200,0.091866
"24",1984-11-19,0,0.136719,0.125,0.125,358400,0.091866
"25",1984-11-20,0,0.128906,0.121094,0.121094,179200,0.088995
"26",1984-11-21,0,0.128906,0.121094,0.121094,905600,0.088995
"27",1984-11-23,0,0.128906,0.121094,0.121094,25600,0.088995
"28",1984-11-26,0,0.128906,0.125,0.125,166400,0.091866
"29",1984-11-27,0,0.132813,0.128906,0.128906,147200,0.094736
"30",1984-11-28,0,0.132813,0.128906,0.128906,492800,0.094736
"31",1984-11-29,0,0.132813,0.128906,0.128906,262400,0.094736
"32",1984-11-30,0,0.132813,0.128906,0.128906,556800,0.094736
"33",1984-12-03,0,0.132813,0.125,0.125,380800,0.091866
"34",1984-12-04,0,0.128906,0.121094,0.121094,217600,0.088995
"35",1984-12-05,0,0.128906,0.121094,0.121094,102400,0.088995
"36",1984-12-06,0,0.125,0.117188,0.117188,630400,0.086124
"37",1984-12-07,0,0.121094,0.117188,0.117188,86400,0.086124
"38",1984-12-10,0,0.121094,0.117188,0.117188,2099200,0.086124
"39",1984-12-11,0,0.121094,0.117188,0.117188,188800,0.086124
"40",1984-12-12,0,0.121094,0.117188,0.117188,393600,0.086124
"41",1984-12-13,0,0.121094,0.117188,0.117188,102400,0.086124
"42",1984-12-14,0,0.121094,0.117188,0.117188,89600,0.086124
"43",1984-12-17,0,0.121094,0.117188,0.117188,102400,0.086124
"44",1984-12-18,0,0.121094,0.117188,0.117188,214400,0.086124
"45",1984-12-19,0,0.121094,0.117188,0.117188,102400,0.086124
"46",1984-12-20,0,0.121094,0.117188,0.117188,121600,0.086124
"47",1984-12-21,0,0.121094,0.117188,0.117188,704000,0.086124
"48",1984-12-24,0,0.121094,0.117188,0.117188,921600,0.086124
"49",1984-12-26,0,0.121094,0.117188,0.117188,521600,0.086124
"50",1984-12-27,0,0.125,0.117188,0.117188,947200,0.086124
"51",1984-12-28,0,0.121094,0.117188,0.117188,76800,0.086124
"52",1984-12-31,0,0.125,0.117188,0.117188,457600,0.086124
"53",1985-01-02,0,0.125,0.121094,0.121094,179200,0.088995
"54",1985-01-03,0,0.132813,0.121094,0.121094,227200,0.088995
"55",1985-01-04,0,0.132813,0.121094,0.121094,390400,0.088995
"56",1985-01-07,0,0.136719,0.128906,0.128906,2652800,0.094736
"57",1985-01-08,0,0.152344,0.144531,0.144531,1190400,0.10622
"58",1985-01-09,0,0.152344,0.144531,0.144531,403200,0.10622
"59",1985-01-10,0,0.15625,0.148438,0.148438,1062400,0.10909
"60",1985-01-11,0,0.160156,0.148438,0.148438,188800,0.10909
"61",1985-01-14,0,0.160156,0.152344,0.152344,131200,0.111961
"62",1985-01-15,0,0.164063,0.15625,0.15625,320000,0.114832
"63",1985-01-16,0,0.160156,0.15625,0.15625,134400,0.114832
"64",1985-01-17,0,0.160156,0.15625,0.15625,441600,0.114832
"65",1985-01-18,0,0.164063,0.15625,0.15625,556800,0.114832
"66",1985-01-21,0,0.164063,0.15625,0.15625,112000,0.114832
"67",1985-01-22,0,0.164063,0.15625,0.15625,441600,0.114832
"68",1985-01-23,0,0.164063,0.15625,0.15625,156800,0.114832
"69",1985-01-24,0,0.183594,0.175781,0.175781,1475200,0.129186
"70",1985-01-25,0,0.191406,0.1875,0.1875,1110400,0.137798
"71",1985-01-28,0,0.191406,0.1875,0.1875,908800,0.137798
"72",1985-01-29,0,0.195313,0.1875,0.1875,1660800,0.137798
"73",1985-01-30,0,0.203125,0.195313,0.195313,928000,0.14354
"74",1985-01-31,0,0.203125,0.195313,0.195313,656000,0.14354
"75",1985-02-01,0,0.203125,0.195313,0.195313,208000,0.14354
"76",1985-02-04,0,0.214844,0.207031,0.207031,966400,0.152152
"77",1985-02-05,0,0.238281,0.234375,0.234375,2320000,0.172248
"78",1985-02-06,0,0.246094,0.242188,0.242188,1280000,0.17799
"79",1985-02-07,0,0.25,0.238281,0.238281,1113600,0.175119
"80",1985-02-08,0,0.269531,0.265625,0.265625,4268800,0.195214
"81",1985-02-11,0,0.273438,0.269531,0.269531,998400,0.198085
"82",1985-02-12,0,0.269531,0.261719,0.261719,1472000,0.192344
"83",1985-02-13,0,0.269531,0.261719,0.261719,611200,0.192344
"84",1985-02-14,0,0.261719,0.257813,0.257813,355200,0.189473
"85",1985-02-15,0,0.261719,0.253906,0.253906,304000,0.186602
"86",1985-02-19,0,0.253906,0.246094,0.246094,784000,0.18086
"87",1985-02-20,0,0.25,0.242188,0.242188,473600,0.17799
"88",1985-02-21,0,0.25,0.242188,0.242188,281600,0.17799
"89",1985-02-22,0,0.257813,0.25,0.25,809600,0.183731
"90",1985-02-25,0,0.253906,0.25,0.25,496000,0.183731
"91",1985-02-26,0,0.257813,0.25,0.25,672000,0.183731
"92",1985-02-27,0,0.257813,0.25,0.25,1955200,0.183731
"93",1985-02-28,0,0.277344,0.269531,0.269531,1049600,0.198085
"94",1985-03-01,0,0.28125,0.273438,0.273438,467200,0.200956
"95",1985-03-04,0,0.28125,0.273438,0.273438,556800,0.200956
"96",1985-03-05,0,0.28125,0.273438,0.273438,441600,0.200956
"97",1985-03-06,0,0.28125,0.273438,0.273438,496000,0.200956
"98",1985-03-07,0,0.277344,0.265625,0.265625,531200,0.195214
"99",1985-03-08,0,0.277344,0.265625,0.265625,19200,0.195214
"100",1985-03-11,0,0.273438,0.261719,0.261719,246400,0.192344
"101",1985-03-12,0,0.273438,0.261719,0.261719,4275200,0.192344
