"","date","open","high","low","close","volume","adjusted"
"1",1975-07-08,1.761719,1.761719,1.710938,1.726563,2595200,0.02562
"2",1975-07-09,1.734375,1.765625,1.734375,1.757813,1104000,0.026083
"3",1975-07-10,1.773438,1.800781,1.773438,1.773438,1088000,0.026315
"4",1975-07-11,1.773438,1.804688,1.769531,1.804688,902400,0.026779
"5",1975-07-14,1.804688,1.816406,1.785156,1.796875,950400,0.026663
"6",1975-07-15,1.796875,1.824219,1.792969,1.824219,947200,0.027069
"7",1975-07-16,1.824219,1.847656,1.773438,1.78125,1065600,0.026431
"8",1975-07-17,1.78125,1.800781,1.769531,1.800781,796800,0.026721
"9",1975-07-18,1.796875,1.796875,1.78125,1.792969,640000,0.026605
"10",1975-07-21,1.792969,1.792969,1.757813,1.757813,748800,0.026083
"11",1975-07-22,1.757813,1.757813,1.722656,1.734375,1008000,0.025735
"12",1975-07-23,1.734375,1.734375,1.660156,1.667969,1052800,0.02475
"13",1975-07-24,1.667969,1.714844,1.65625,1.679688,764800,0.024924
"14",1975-07-25,1.679688,1.695313,1.65625,1.664063,1033600,0.024692
"15",1975-07-28,1.640625,1.640625,1.570313,1.59375,1628800,0.023649
"16",1975-07-29,1.59375,1.652344,1.578125,1.59375,1961600,0.023649
"17",1975-07-30,1.59375,1.664063,1.585938,1.660156,1084800,0.024634
"18",1975-07-31,1.660156,1.683594,1.660156,1.675781,851200,0.024866
"19",1975-08-01,1.667969,1.667969,1.625,1.625,1580800,0.024113
"20",1975-08-04,1.625,1.640625,1.597656,1.632813,844800,0.024228
"21",1975-08-05,1.632813,1.65625,1.625,1.632813,444800,0.024228
"22",1975-08-06,1.632813,1.652344,1.628906,1.644531,528000,0.024402
"23",1975-08-07,1.644531,1.648438,1.632813,1.636719,464000,0.024286
"24",1975-08-08,1.636719,1.648438,1.625,1.625,579200,0.024113
"25",1975-08-11,1.625,1.632813,1.601563,1.632813,652800,0.024464
"26",1975-08-12,1.648438,1.671875,1.648438,1.65625,704000,0.024815
"27",1975-08-13,1.65625,1.660156,1.644531,1.644531,336000,0.024639
"28",1975-08-14,1.644531,1.652344,1.636719,1.640625,505600,0.024581
"29",1975-08-15,1.640625,1.671875,1.640625,1.664063,489600,0.024932
"30",1975-08-18,1.664063,1.703125,1.664063,1.671875,483200,0.025049
"31",1975-08-19,1.65625,1.65625,1.632813,1.632813,1113600,0.024464
"32",1975-08-20,1.632813,1.632813,1.5625,1.566406,1856000,0.023469
"33",1975-08-21,1.566406,1.585938,1.550781,1.582031,1660800,0.023703
"34",1975-08-22,1.582031,1.640625,1.578125,1.628906,544000,0.024405
"35",1975-08-25,1.628906,1.652344,1.625,1.644531,774400,0.024639
"36",1975-08-26,1.644531,1.65625,1.625,1.640625,486400,0.024581
"37",1975-08-27,1.640625,1.6875,1.636719,1.671875,739200,0.025049
"38",1975-08-28,1.683594,1.710938,1.683594,1.710938,592000,0.025634
"39",1975-08-29,1.710938,1.730469,1.703125,1.714844,883200,0.025693
"40",1975-09-02,1.722656,1.746094,1.722656,1.726563,8e+05,0.025868
"41",1975-09-03,1.726563,1.730469,1.714844,1.722656,2339200,0.02581
"42",1975-09-04,1.726563,1.757813,1.726563,1.757813,579200,0.026337
"43",1975-09-05,1.761719,1.800781,1.761719,1.765625,1084800,0.026454
"44",1975-09-08,1.773438,1.796875,1.773438,1.78125,633600,0.026688
"45",1975-09-09,1.78125,1.808594,1.765625,1.769531,1763200,0.026512
"46",1975-09-10,1.753906,1.753906,1.695313,1.703125,1136000,0.025517
"47",1975-09-11,1.703125,1.714844,1.691406,1.703125,889600,0.025517
"48",1975-09-12,1.703125,1.734375,1.6875,1.695313,912000,0.0254
"49",1975-09-15,1.695313,1.695313,1.679688,1.6875,345600,0.025283
"50",1975-09-16,1.6875,1.710938,1.683594,1.6875,937600,0.025283
"51",1975-09-17,1.6875,1.710938,1.679688,1.699219,630400,0.025459
"52",1975-09-18,1.699219,1.734375,1.6875,1.730469,627200,0.025927
"53",1975-09-19,1.742188,1.78125,1.742188,1.777344,3801600,0.026629
"54",1975-09-22,1.777344,1.800781,1.75,1.75,1020800,0.02622
"55",1975-09-23,1.75,1.765625,1.734375,1.757813,294400,0.026337
"56",1975-09-24,1.769531,1.824219,1.769531,1.804688,1065600,0.027039
"57",1975-09-25,1.804688,1.824219,1.804688,1.824219,662400,0.027331
"58",1975-09-26,1.824219,1.855469,1.824219,1.855469,1116800,0.0278
"59",1975-09-29,1.855469,1.871094,1.804688,1.8125,1372800,0.027156
"60",1975-09-30,1.800781,1.800781,1.765625,1.769531,761600,0.026512
"61",1975-10-01,1.765625,1.765625,1.703125,1.707031,940800,0.025576
"62",1975-10-02,1.707031,1.761719,1.699219,1.757813,636800,0.026337
"63",1975-10-03,1.757813,1.796875,1.757813,1.773438,982400,0.026571
"64",1975-10-06,1.773438,1.84375,1.773438,1.824219,2576000,0.027331
"65",1975-10-07,1.824219,1.828125,1.785156,1.820313,1545600,0.027273
"66",1975-10-08,1.820313,1.847656,1.820313,1.84375,1024000,0.027624
"67",1975-10-09,1.84375,1.867188,1.796875,1.796875,812800,0.026922
"68",1975-10-10,1.796875,1.8125,1.78125,1.78125,883200,0.026688
"69",1975-10-13,1.785156,1.8125,1.785156,1.8125,745600,0.027156
"70",1975-10-14,1.8125,1.859375,1.726563,1.742188,2172800,0.026102
"71",1975-10-15,1.742188,1.757813,1.726563,1.757813,3401600,0.026337
"72",1975-10-16,1.746094,1.746094,1.664063,1.71875,1820800,0.025751
"73",1975-10-17,1.710938,1.710938,1.648438,1.667969,966400,0.02499
"74",1975-10-20,1.667969,1.71875,1.667969,1.71875,1152000,0.025751
"75",1975-10-21,1.71875,1.738281,1.707031,1.707031,1017600,0.025576
"76",1975-10-22,1.707031,1.710938,1.679688,1.679688,2934400,0.025166
"77",1975-10-23,1.679688,1.695313,1.640625,1.695313,1667200,0.0254
"78",1975-10-24,1.695313,1.707031,1.648438,1.648438,1091200,0.024698
"79",1975-10-27,1.648438,1.699219,1.648438,1.648438,976000,0.024698
"80",1975-10-28,1.65625,1.703125,1.65625,1.703125,483200,0.025517
"81",1975-10-29,1.699219,1.699219,1.65625,1.65625,908800,0.024815
"82",1975-10-30,1.65625,1.65625,1.65625,1.65625,0,0.024815
"83",1975-10-31,1.636719,1.636719,1.609375,1.636719,380800,0.024522
"84",1975-11-03,1.636719,1.636719,1.539063,1.539063,758400,0.023059
"85",1975-11-04,1.539063,1.570313,1.515625,1.53125,3516800,0.022942
"86",1975-11-05,1.535156,1.574219,1.535156,1.5625,2028800,0.02341
"87",1975-11-06,1.5625,1.570313,1.539063,1.558594,803200,0.023352
"88",1975-11-07,1.539063,1.539063,1.519531,1.523438,300800,0.023056
"89",1975-11-10,1.523438,1.5625,1.503906,1.5625,729600,0.023647
"90",1975-11-11,1.539063,1.539063,1.53125,1.535156,566400,0.023234
"91",1975-11-12,1.535156,1.558594,1.535156,1.558594,876800,0.023588
"92",1975-11-13,1.558594,1.574219,1.550781,1.558594,1392000,0.023588
"93",1975-11-14,1.558594,1.5625,1.546875,1.550781,304000,0.02347
"94",1975-11-17,1.542969,1.542969,1.496094,1.515625,688000,0.022938
"95",1975-11-18,1.515625,1.523438,1.484375,1.5,1280000,0.022702
"96",1975-11-19,1.5,1.5,1.46875,1.472656,771200,0.022288
"97",1975-11-20,1.472656,1.503906,1.460938,1.476563,1190400,0.022347
"98",1975-11-21,1.476563,1.476563,1.457031,1.460938,528000,0.02211
