"","date","open","high","low","close","volume","adjusted"
"1",1980-03-17,0,0.210938,0.208984,0.208984,448000,0.101891
"2",1980-03-18,0,0.209961,0.207031,0.208008,422400,0.101414
"3",1980-03-19,0,0.213867,0.208008,0.213867,396800,0.104271
"4",1980-03-20,0,0.212891,0.212891,0.212891,25600,0.103795
"5",1980-03-21,0,0.213867,0.211914,0.213867,294400,0.104271
"6",1980-03-24,0,0.214844,0.212891,0.212891,806400,0.103795
"7",1980-03-25,0,0.214844,0.210938,0.210938,4172800,0.102843
"8",1980-03-26,0,0.21582,0.210938,0.214844,819200,0.104747
"9",1980-03-27,0,0.213867,0.209961,0.212891,1753600,0.103795
"10",1980-03-28,0,0.214844,0.211914,0.213867,960000,0.104271
"11",1980-03-31,0,0.220703,0.212891,0.220703,640000,0.107604
"12",1980-04-01,0,0.220703,0.219727,0.220703,1830400,0.107604
"13",1980-04-02,0,0.21875,0.214844,0.21582,1856000,0.105223
"14",1980-04-03,0,0.21582,0.213867,0.214844,396800,0.104747
"15",1980-04-07,0,0.213867,0.210938,0.210938,1190400,0.102843
"16",1980-04-08,0,0.210938,0.209961,0.210938,51200,0.102843
"17",1980-04-09,0,0.210938,0.208984,0.209961,716800,0.102367
"18",1980-04-10,0,0.212891,0.209961,0.212891,2112000,0.103795
"19",1980-04-11,0,0.212891,0.210938,0.210938,742400,0.102843
"20",1980-04-14,0,0.212891,0.209961,0.212891,934400,0.103795
"21",1980-04-15,0,0.213867,0.210938,0.210938,3558400,0.102843
"22",1980-04-16,0,0.21582,0.211914,0.211914,1651200,0.103319
"23",1980-04-17,0,0.211914,0.210938,0.211914,89600,0.103319
"24",1980-04-18,0,0.212891,0.211914,0.212891,755200,0.103795
"25",1980-04-21,0,0.210938,0.209961,0.209961,3494400,0.102367
"26",1980-04-22,0,0.211914,0.209961,0.211914,204800,0.103319
"27",1980-04-23,0,0.214844,0.212891,0.214844,4454400,0.104747
"28",1980-04-24,0,0.21582,0.212891,0.21582,332800,0.105223
"29",1980-04-25,0,0.21875,0.214844,0.21875,345600,0.106652
"30",1980-04-28,0,0.217773,0.214844,0.21582,793600,0.105223
"31",1980-04-29,0,0.21582,0.21582,0.21582,115200,0.105223
"32",1980-04-30,0,0.219727,0.216797,0.219727,332800,0.107128
"33",1980-05-01,0,0.222656,0.220703,0.222656,2816000,0.108556
"34",1980-05-02,0,0.223633,0.222656,0.223633,256000,0.109032
"35",1980-05-05,0,0.224609,0.222656,0.222656,204800,0.108556
"36",1980-05-06,0,0.224609,0.222656,0.224609,704000,0.109509
"37",1980-05-07,0,0.234375,0.222656,0.234375,1024000,0.11427
"38",1980-05-08,0,0.237305,0.234375,0.234375,2508800,0.11427
"39",1980-05-09,0,0.237305,0.235352,0.235352,332800,0.114746
"40",1980-05-12,0,0.233398,0.231445,0.231445,294400,0.112841
"41",1980-05-13,0,0.240234,0.232422,0.240234,486400,0.117126
"42",1980-05-14,0,0.249023,0.243164,0.24707,2432000,0.120459
"43",1980-05-15,0,0.25293,0.24707,0.250977,755200,0.122364
"44",1980-05-16,0,0.251953,0.249023,0.25,332800,0.121888
"45",1980-05-19,0,0.250977,0.25,0.25,371200,0.121888
"46",1980-05-20,0,0.25,0.249023,0.25,371200,0.121888
"47",1980-05-21,0,0.250977,0.246094,0.249023,1164800,0.121412
"48",1980-05-22,0,0.249023,0.245117,0.245117,345600,0.119507
"49",1980-05-23,0,0.246094,0.243164,0.245117,2214400,0.119507
"50",1980-05-27,0,0.245117,0.241211,0.245117,537600,0.119507
"51",1980-05-28,0,0.249023,0.245117,0.246094,1177600,0.119983
"52",1980-05-29,0,0.244141,0.239258,0.239258,998400,0.11665
"53",1980-05-30,0,0.238281,0.234375,0.236328,576000,0.115222
"54",1980-06-02,0,0.241211,0.236328,0.236328,345600,0.115222
"55",1980-06-03,0,0.239258,0.235352,0.239258,204800,0.11665
"56",1980-06-04,0,0.244141,0.238281,0.244141,1024000,0.119031
"57",1980-06-05,0,0.25,0.242188,0.248047,691200,0.120936
"58",1980-06-06,0,0.249023,0.24707,0.248047,1779200,0.120936
"59",1980-06-09,0,0.249023,0.246094,0.246094,307200,0.119983
"60",1980-06-10,0,0.246094,0.244141,0.244141,947200,0.119031
"61",1980-06-11,0,0.246094,0.242188,0.244141,985600,0.119031
"62",1980-06-12,0,0.244141,0.241211,0.242188,1036800,0.118079
"63",1980-06-13,0,0.243164,0.240234,0.241211,614400,0.117603
"64",1980-06-16,0,0.243164,0.241211,0.242188,1011200,0.118079
"65",1980-06-17,0,0.243164,0.242188,0.243164,844800,0.118555
"66",1980-06-18,0,0.244141,0.240234,0.240234,358400,0.117126
"67",1980-06-19,0,0.244141,0.242188,0.243164,140800,0.118555
"68",1980-06-20,0,0.243164,0.240234,0.241211,550400,0.117603
"69",1980-06-23,0,0.239258,0.236328,0.236328,2944000,0.115222
"70",1980-06-24,0,0.238281,0.236328,0.238281,2329600,0.116174
"71",1980-06-25,0,0.240234,0.238281,0.239258,2124800,0.11665
"72",1980-06-26,0,0.246094,0.240234,0.243164,1075200,0.118555
"73",1980-06-27,0,0.242188,0.240234,0.241211,460800,0.117603
"74",1980-06-30,0,0.242188,0.240234,0.242188,153600,0.118079
"75",1980-07-01,0,0.25,0.241211,0.25,716800,0.121888
"76",1980-07-02,0,0.25293,0.248047,0.251953,217600,0.12284
"77",1980-07-03,0,0.260742,0.253906,0.260742,1331200,0.127125
"78",1980-07-07,0,0.265625,0.261719,0.263672,640000,0.128554
"79",1980-07-08,0,0.269531,0.265625,0.265625,1113600,0.129506
"80",1980-07-09,0,0.269531,0.258789,0.258789,921600,0.126173
"81",1980-07-10,0,0.263672,0.258789,0.263672,1177600,0.128554
"82",1980-07-11,0,0.261719,0.259766,0.260742,294400,0.127125
"83",1980-07-14,0,0.263672,0.260742,0.261719,576000,0.127601
"84",1980-07-15,0,0.275391,0.264648,0.273438,1536000,0.133315
"85",1980-07-16,0,0.273438,0.271484,0.271484,3212800,0.132363
"86",1980-07-17,0,0.272461,0.270508,0.270508,12569600,0.131886
"87",1980-07-18,0,0.273438,0.272461,0.272461,2457600,0.132839
"88",1980-07-21,0,0.274414,0.269531,0.274414,1331200,0.133791
"89",1980-07-22,0,0.282227,0.276367,0.280273,2099200,0.136648
"90",1980-07-23,0,0.282227,0.279297,0.279297,844800,0.136171
"91",1980-07-24,0,0.28418,0.279297,0.28125,3724800,0.137124
"92",1980-07-25,0,0.282227,0.280273,0.280273,1292800,0.136648
"93",1980-07-28,0,0.282227,0.280273,0.28125,294400,0.137124
"94",1980-07-29,0,0.289063,0.28418,0.289063,2726400,0.140933
"95",1980-07-30,0,0.288086,0.285156,0.287109,1318400,0.139981
