"","date","open","high","low","close","volume","adjusted"
"1",1975-06-27,2.871094,2.878906,2.859375,2.871094,1884800,0.048787
"2",1975-06-30,2.871094,2.890625,2.871094,2.890625,1238400,0.049119
"3",1975-07-01,2.886719,2.886719,2.851563,2.871094,3296000,0.048787
"4",1975-07-02,2.867188,2.867188,2.851563,2.867188,1164800,0.048721
"5",1975-07-03,2.867188,2.875,2.847656,2.867188,5011200,0.048721
"6",1975-07-07,2.859375,2.859375,2.828125,2.828125,1219200,0.048057
"7",1975-07-08,2.8125,2.8125,2.796875,2.804688,1299200,0.047659
"8",1975-07-09,2.804688,2.824219,2.792969,2.824219,2598400,0.047991
"9",1975-07-10,2.824219,2.84375,2.824219,2.824219,1465600,0.047991
"10",1975-07-11,2.832031,2.867188,2.832031,2.855469,2268800,0.048522
"11",1975-07-14,2.863281,2.875,2.863281,2.867188,1942400,0.048721
"12",1975-07-15,2.867188,2.882813,2.851563,2.855469,2297600,0.048522
"13",1975-07-16,2.855469,2.871094,2.796875,2.804688,2662400,0.047659
"14",1975-07-17,2.804688,2.808594,2.773438,2.785156,1820800,0.047327
"15",1975-07-18,2.785156,2.789063,2.769531,2.78125,1401600,0.04726
"16",1975-07-21,2.78125,2.796875,2.761719,2.777344,1760000,0.047194
"17",1975-07-22,2.75,2.75,2.722656,2.734375,2147200,0.046464
"18",1975-07-23,2.734375,2.75,2.734375,2.746094,1612800,0.046663
"19",1975-07-24,2.746094,2.757813,2.710938,2.734375,1398400,0.046464
"20",1975-07-25,2.734375,2.742188,2.71875,2.730469,1353600,0.046398
"21",1975-07-28,2.730469,2.742188,2.71875,2.730469,966400,0.046398
"22",1975-07-29,2.730469,2.757813,2.730469,2.734375,1430400,0.046464
"23",1975-07-30,2.734375,2.742188,2.726563,2.738281,1238400,0.04653
"24",1975-07-31,2.738281,2.753906,2.71875,2.71875,1369600,0.046198
"25",1975-08-01,2.71875,2.746094,2.707031,2.746094,1139200,0.046663
"26",1975-08-04,2.738281,2.738281,2.703125,2.710938,1020800,0.046066
"27",1975-08-05,2.710938,2.738281,2.710938,2.71875,963200,0.046198
"28",1975-08-06,2.714844,2.714844,2.679688,2.699219,1529600,0.046535
"29",1975-08-07,2.699219,2.714844,2.695313,2.707031,931200,0.04667
"30",1975-08-08,2.707031,2.710938,2.6875,2.6875,921600,0.046333
"31",1975-08-11,2.6875,2.6875,2.667969,2.6875,2240000,0.046333
"32",1975-08-12,2.6875,2.742188,2.679688,2.734375,1433600,0.047141
"33",1975-08-13,2.734375,2.742188,2.710938,2.722656,825600,0.046939
"34",1975-08-14,2.722656,2.722656,2.6875,2.6875,2022400,0.046333
"35",1975-08-15,2.6875,2.695313,2.679688,2.695313,956800,0.046468
"36",1975-08-18,2.695313,2.714844,2.695313,2.695313,1129600,0.046468
"37",1975-08-19,2.695313,2.714844,2.695313,2.710938,982400,0.046737
"38",1975-08-20,2.703125,2.703125,2.652344,2.652344,2284800,0.045727
"39",1975-08-21,2.652344,2.671875,2.640625,2.667969,1932800,0.045996
"40",1975-08-22,2.667969,2.671875,2.65625,2.65625,1004800,0.045794
"41",1975-08-25,2.65625,2.671875,2.65625,2.664063,1033600,0.045929
"42",1975-08-26,2.664063,2.671875,2.652344,2.65625,1139200,0.045794
"43",1975-08-27,2.65625,2.65625,2.636719,2.644531,2083200,0.045592
"44",1975-08-28,2.644531,2.699219,2.636719,2.691406,2521600,0.0464
"45",1975-08-29,2.703125,2.726563,2.703125,2.710938,1008000,0.046737
"46",1975-09-02,2.710938,2.738281,2.707031,2.707031,761600,0.04667
"47",1975-09-03,2.707031,2.707031,2.691406,2.699219,1302400,0.046535
"48",1975-09-04,2.699219,2.703125,2.679688,2.6875,1132800,0.046333
"49",1975-09-05,2.6875,2.707031,2.6875,2.691406,1056000,0.0464
"50",1975-09-08,2.691406,2.707031,2.691406,2.703125,1017600,0.046602
"51",1975-09-09,2.703125,2.734375,2.695313,2.695313,1401600,0.046468
"52",1975-09-10,2.695313,2.710938,2.675781,2.710938,1177600,0.046737
"53",1975-09-11,2.710938,2.710938,2.691406,2.695313,998400,0.046468
"54",1975-09-12,2.695313,2.714844,2.691406,2.695313,1148800,0.046468
"55",1975-09-15,2.691406,2.691406,2.679688,2.683594,736000,0.046266
"56",1975-09-16,2.683594,2.707031,2.683594,2.683594,921600,0.046266
"57",1975-09-17,2.683594,2.695313,2.683594,2.691406,726400,0.0464
"58",1975-09-18,2.695313,2.742188,2.695313,2.738281,1840000,0.047209
"59",1975-09-19,2.777344,2.8125,2.777344,2.796875,2988800,0.048219
"60",1975-09-22,2.796875,2.808594,2.785156,2.789063,1113600,0.048084
"61",1975-09-23,2.789063,2.859375,2.773438,2.859375,1616000,0.049296
"62",1975-09-24,2.867188,2.90625,2.867188,2.867188,2684800,0.049431
"63",1975-09-25,2.867188,2.867188,2.824219,2.828125,1760000,0.048757
"64",1975-09-26,2.828125,2.84375,2.820313,2.839844,1708800,0.048959
"65",1975-09-29,2.832031,2.832031,2.761719,2.769531,969600,0.047747
"66",1975-09-30,2.769531,2.773438,2.734375,2.734375,1056000,0.047141
"67",1975-10-01,2.734375,2.753906,2.710938,2.714844,1184000,0.046804
"68",1975-10-02,2.722656,2.761719,2.722656,2.746094,1724800,0.047343
"69",1975-10-03,2.75,2.828125,2.75,2.820313,1715200,0.048623
"70",1975-10-06,2.828125,2.855469,2.828125,2.832031,1443200,0.048825
"71",1975-10-07,2.832031,2.847656,2.820313,2.847656,1446400,0.049094
